id,position,status,full_name,short_name,excit_inhib,subregion,abbreviation,short_name(old),soma_locs,p,dg,ca3,ca2,ca1,sub,ec
2043,210,active,CA3 (-)22232 basket cells (BC),Basket (-)22232,-,CA3,BC,CA3:BC,10,,,22232,,,,
2044,211,active,CA3 (-)22232 basket cells CCK (BC CCK),Basket-CCK (-)22232,-,CA3,BC_CCK,CA3:BC_CCK,10,,,22232,,,,
2028,212,active,CA3 (-)22232 axo-axonic (AA) cells,Axo-axonic (-)22232,-,CA3,AA,CA3:AA,11,,,22232,,,,
2007,213,frozen,CA3 (-)12222 quadrilaminar oriens-lacunosum moleculare (quad O-LM) neurons,,-,CA3,quad_O-LM,CA3:quad_O-LM,,,,,,,,
2008,214,active,CA3 (-)12000 radiatum-lacunosum moleculare (R-LM) neurons,R-LM (-)12000,-,CA3,R-LM,CA3:R-LM,1000,,,12000,,,,
2009,215,active,CA3 (-)11003 oriens-lacunosum moleculare (O-LM) neurons,O-LM (-)11003,-,CA3,O-LM,CA3:O-LM,1,,,11003,,,,
2042,216,active,CA3 (-)03333p-DG 0003 interneuron specific-3 (IS-3) neurons,Interneuron spec-3 (-)03333p,-,CA3,IS-3,CA3:IS-3,1111,1,3,3333,,,,
2025,217,frozen,CA3 03333-CA1-SUB double projection (DP) cells,,-,CA3,DP,CA3:DP,,1,,,,,,
2045,218,active,CA3 (-)03333 bistratified cells (BiC),Bistratified (-)03333,-,CA3,BiC,CA3:BiC,110,,,3333,,,,
2046,219,active,CA3 (-)03333 ivy cells (ivy),Ivy (-)03333,-,CA3,ivy,CA3:ivy,110,,,3333,,,,
2036,220,active,CA3 (-)03330p-DG 0001 mossy fiber associated-1 (MFA-1) neurons,Mossy fiber-assoc (-)03330p,-,CA3,MFA-1,CA3:MFA-1,1100,1,1,3330,,,,
2013,221,active,CA3 (-)03311 lucidum cells-1 (LC-1),Lucidum-oriens (-)03311,-,CA3,LC-1,CA3:LC-1,1100,,,3311,,,,
2014,222,active,CA3 (-)03300 lucidum cells-2 (LC-2),Lucidum (-)03300,-,CA3,LC-2,CA3:LC-2,1100,,,3300,,,,
2031,223,frozen,CA3 (-)03000p-DG 2001 stratum moleculare-targeting interneuron specific-3 (SM IS-3) neurons,,-,CA3,SM_IS-3,CA3:SM_IS-3,,1,,,,,,
2023,224,active,CA3 (-)03000 radiatum-calbindin (R-CB) neurons,Radiatum (-)03000,-,CA3,R-CB,CA3:R-CB,1000,,,3000,,,,
2035,225,active,CA3 (-)02332p-DG 0001 mossy fiber associated-2 (MFA-2) neurons,Mossy fiber-oriens (-)02332p,-,CA3,MFA-2,CA3:MFA-2,1110,1,1,2332,,,,
2037,226,frozen,CA3 (-)02320 mossy fiber-associated-3 (MFA-3) neurons,,-,CA3,MFA-3,CA3:MFA-3,,,,,,,,
2017,227,active,CA3 (-)02310 lucidum cells-3 (LC-3),Lucidum-pyramidale (-)02310,-,CA3,LC-3,CA3:LC-3,100,,,2310,,,,
2018,228,frozen,CA3 (-)02200 radiatum-lucidum calbindin (RL CB) neurons,,-,CA3,RL_CB,CA3:RL_CB,,,,,,,,
2041,229,frozen,CA3 (-)02030 regular spiking basket cells (RSBC),,-,CA3,RSBC,CA3:RSBC,,,,,,,,
2019,230,active,CA3 (-)01320p-DG 1100 spiny lucidum cells (SLC),Spiny lucidum (-)01320p,-,CA3,SLC,CA3:SLC,100,1,1100,1320,,,,
2020,231,active,CA3 (-)01113p-CA1 0111-SUB 001 trilaminar (TriC) cells,Trilaminar (-)01113p,-,CA3,TriC,CA3:TriC,1,1,,1113,,111,1,
2021,232,active,CA3 (-)01113 interneuron specific (IS) neurons,Interneuron spec-2 (-)01113,-,CA3,IS,CA3:IS,1,,,1113,,,,
2027,233,frozen,CA3 (-)00300 lucidum cells-4 (LC-4),,-,CA3,LC-4,CA3:LC-4,,,,,,,,
2022,234,active,CA3 (-)00003 calbindin (CB) neurons,Calbindin (-)00003,-,CA3,CB,CA3:CB,1,,,3,,,,
,,,,,,,,,,,,,,,,
3000,301,active,CA2 (+)2333p-CA3 01011-DG 0001-CA1 0111 pyramidal cells (PC),Pyramidal (+)2333p,+,CA2,PC,CA2:PC,10,1,1,1011,2333,111,,
3007,302,active,CA2 (-)2232p-CA3 00030-CA1 0030 basket cells projecting (BC proj),Basket-wide (-)2232p,-,CA2,BC_proj,CA2:BC_proj,10,1,,30,2232,30,,
3006,303,active,CA2 (-)2232 basket cells (BC),Basket (-)2232,-,CA2,BC,CA2:BC,10,,,,2232,,,
3003,304,active,CA2 (-)0313p-CA1 0101 bistratified cells (BiC),Bistratified (-)0313p,-,CA2,BiC,CA2:BiC,10,1,,,313,101,,
3005,305,frozen,CA2 (-)0003p-CA3 00003-CA1 0003-SUB 010 wide stratum oriens-stratum oriens (wide SO-SO) neurons,,-,CA2,wide_SO-SO,CA2:wide_SO-SO,,1,,,,,,
,,,,,,,,,,,,,,,,
4000,401,active,CA1 (+)2223p-SUB 111-EC 000011 pyramidal cells (PC),Pyramidal (+)2223p,+,CA1,PC,CA1:PC,110,1,,,,2223,111,11
4054,402,active,CA1 (+)2201 pyramidal-like principal-radiatum giant cells (PLP-RGC),Radiatum giant (+)2201,+,CA1,PLP-RGC,CA1:PLP-RGC,100,,,,,2201,,
4003,403,active,CA1 (-)3333 quadrilaminar cells (QuadC),Quadrilaminar (-)3333,-,CA1,QuadC,CA1:QuadC,1100,,,,,3333,,
4004,404,active,CA1 (-)3300p-DG 1110 perforant path-associated projecting (PPA proj) neurons,Perforant path proj (-)3300p,-,CA1,PPA_proj,CA1:PPA_proj,1100,1,1110,,,3300,,
4005,405,active,CA1 (-)3300 neurogliaform-lacunosum moleculare (NGF-LM) cells,L-M (-)3300,-,CA1,NGF-LM,CA1:NGF-LM,1100,,,,,3300,,
4076,406,active,CA1 (-)3222 perforant path-associated (PPA) neurons,Perforant path assoc (-)3222,-,CA1,PPA,CA1:PPA,100,,,,,3222,,
4006,407,active,CA1 (-)3200p-DG 1000-SUB 100 perforant path associated-subiculum projecting (PPA-SUB) neurons,Perforant path sub (-)3200p,-,CA1,PPA-SUB,CA1:PPA-SUB,1100,1,1000,,,3200,100,
4043,408,frozen,CA1 (-)3200p-SUB 100 radiatum retrohippocampal projecting-subiculum targeting (RRP-SUB) neurons,,-,CA1,RRP-SUB,CA1:RRP-SUB,,1,,,,,,
4042,409,frozen,CA1 (-)3200p-CA3 10000 radiatum retrohippocampal projecting-CA3 targeting (RRP-CA3) neurons,,-,CA1,RRP-CA3,CA1:RRP-CA3,,1,,,,,,
4007,410,frozen,CA1 (-)3111 cholinergic (CH) neurons,,-,CA1,CH,CA1:CH,,,,,,,,
4008,411,frozen,CA1 (-)3100p-DG 0110 radiatum- and dentate-innervating (RADI) neuron,,-,CA1,RADI,CA1:RADI,,1,,,,,,
4064,412,frozen,CA1 (-)3100 calbindin-perforant path associated (CB-PPA) neurons,,-,CA1,CB-PPA,CA1:CB-PPA,,,,,,,,
4011,413,active,CA1 (-)3000p-DG 3000 neurogliaform projecting (NGF proj) neurons,Neurogliaform proj (-)3000p,-,CA1,NGF_proj,CA1:NGF_proj,1000,1,3000,,,3000,,
4012,414,active,CA1 (-)3000 neurogliaform (NGF) neurons,Neurogliaform (-)3000,-,CA1,NGF,CA1:NGF,1000,,,,,3000,,
4013,415,active,CA1 (-)2333 bistratified cells-trilaminar cells (BiC-TriC),Trilaminar (-)2333,-,CA1,BiC-TriC,CA1:BiC-TriC,10,,,,,2333,,
4014,416,frozen,CA1 (-)2333 large calbindin (lg CB) neurons,,-,CA1,lg_CB,CA1:lg_CB,,,,,,,,
4015,417,active,CA1 (-)2311 Schaffer collateral associated-apical dendrite innervating (SCA-ADI) neurons,Schaffer collateral (-)2311,-,CA1,SCA-ADI,CA1:SCA-ADI,100,,,,,2311,,
4044,418,frozen,CA1 (-)2302 stratum radiatum-targeting interneuron specific-1a (SR IS-1a) neurons,,-,CA1,SR_IS-1a,CA1:SR_IS-1a,,,,,,,,
4056,419,active,CA1 (-)2300 stratum radiatum-targeting interneuron specific-1 (SR IS-1) neurons,Interneuron spec-5 (-)2300,-,CA1,SR_IS-1,CA1:SR_IS-1,100,,,,,2300,,
4055,420,active,CA1 (-)2233 oriens-alveus (O-A) neurons,Oriens-alveus (-)2233,-,CA1,O-A,CA1:O-A,1,,,,,2233,,
4078,421,active,CA1 (-)2232 basket cells (BC),Basket (-)2232,-,CA1,BC,CA1:BC,110,,,,,2232,,
4079,422,active,CA1 (-)2232 basket cells CCK (BC CCK),Basket-CCK (-)2232,-,CA1,BC_CCK,CA1:BC_CCK,110,,,,,2232,,
4036,423,active,CA1 (-)2232 axo-axonic (AA) neurons,Axo-axonic (-)2232,-,CA1,AA,CA1:AA,110,,,,,2232,,
4020,424,active,CA1 (-)2223 quadrilaminar interneuron specific-3 (quad IS-3) neurons,Interneuron spec-4 (-)2223,-,CA1,quad_IS-3,CA1:quad_IS-3,10,,,,,2223,,
4046,425,frozen,CA1 (-)2111 trilaminar interneuron specific-1 (tri IS-1) neurons,,-,CA1,tri_IS_I,CA1:tri_IS_I,,,,,,,,
4021,426,active,CA1 (-)2100 interneuron specific-2 (IS-2) neurons,Interneuron spec-2 (-)2100,-,CA1,IS-2,CA1:IS-2,1100,,,,,2100,,
4022,427,active,CA1 (-)2003 interneuron specific-3 neurons,Interneuron spec-3 (-)2003,-,CA1,IS-3,CA1:IS-3,10,,,,,2003,,
4061,428,active,CA1 (-)1300 stratum lacunosum-moleculare--stratum radiatum neurons,LM-R (-)1300,-,CA1,SLM-SR,CA1:SLM-SR,100,,,,,1300,,
4066,429,active,CA1 (-)1202 pyramidal/radiatum-lacunosum moleculare neurons,P-LM (-)1202,-,CA1,PR-LM,CA1:PR-LM,110,,,,,1202,,
4023,430,active,CA1 (-)1133p-CA3 11101-DG 0001 back projecting (BP) neurons,Back proj (-)1133p,-,CA1,BP,CA1:BP,1,1,1,11101,,1133,,
4068,431,active,CA1 (-)1113p-SUB 111 oriens-bistratified cells (O-BiC),Bistratified proj (-)1113p,-,CA1,O-BiC,CA1:O-BiC,1,1,,,,1113,111,
4024,432,frozen,CA1 (-)1102 stratum radiatum-targeting oriens-lacunosum moleculare (SR O-LM) neurons,,-,CA1,SR_O-LM,CA1:SR_O-LM,,,,,,,,
4067,433,frozen,CA1 (-)1003 stratum oriens-targeting oriens-lacunosum moleculare (SO O-LM) neurons,,-,CA1,SO_O-LM,CA1:SO_O-LM,,,,,,,,
4077,434,frozen,CA1 (-)1002p-CA2 1000-CA3 10000 oriens-lacunosum moleculare projecting (O-LM proj) neurons,,-,CA1,O-LM_proj,CA1:O-LM_proj,,1,,,,,,
4069,435,active,CA1 (-)1002 oriens-lacunosum moleculare (O-LM) neurons,O-LM (-)1002,-,CA1,O-LM,CA1:O-LM,1,,,,,1002,,
4080,436,active,CA1 (-)0333 bistratified cells (BiC),Bistratified (-)0333,-,CA1,BiC,CA1:BiC,10,,,,,333,,
4081,437,active,CA1 (-)0333 ivy cells (ivy),Ivy (-)0333,-,CA1,ivy,CA1:ivy,10,,,,,333,,
4041,438,active,CA1 (-)0313p-SUB 001 enkephalin-expressing (ENK) cells,Enkephalin (-)0313p,-,CA1,ENK,CA1:ENK,100,1,,,,313,1,
4074,439,frozen,CA1 (-)0313 trilaminar cells radial (TriC rad),,-,CA1,TriC_rad,CA1:TriC_rad,,,,,,,,
4048,440,frozen,CA1 (-)0303 bistratified calbindin (bi CB) neurons,,-,CA1,bi_CB,CA1:bi_CB,,,,,,,,
4059,441,frozen,CA1 (-)0302 stratum radiatum-targeting calbindin (SR CB) neurons,,-,CA1,SR_CB,CA1:SR_CB,,,,,,,,
4058,442,frozen,CA1 (-)0302 interneuron specific-1a (IS-1a) neurons,,-,CA1,IS-1a,CA1:IS-1a,,,,,,,,
4028,443,active,CA1 (-)0300 Schaffer collateral associated-stratum radiatum-calbindin (SCA-SR-CB) neurons,Radiatum (-)0300,-,CA1,SCA-SR-CB,CA1:SCA-SR-CB,1100,,,,,300,,
4051,444,frozen,CA1 (-)0233 oriens-alveus-2 (O-A-2) neurons,,-,CA1,O-A-2,CA1:O-A-2,,,,,,,,
4049,445,frozen,CA1 (-)0221 interneuron specific-1b (IS-1b) neurons,,-,CA1,IS-1b,CA1:IS-1b,,,,,,,,
4063,446,frozen,CA1 (-)0210 basket cells-2 (BC-2),,-,CA1,BC-2,CA1:BC-2,,,,,,,,
4050,447,frozen,CA1 (-)0203 interneuron specific-1c (IS-1c) neurons,,-,CA1,IS-1c,CA1:IS-1c,,,,,,,,
4035,448,active,CA1 (-)0113p-SUB 111 trilaminar horizontal-irens retrohippocampal projecting-double projecting-oriens radiatum (TH-ORP-DP-OR) neurons,Double proj (-)0113p,-,CA1,TH-ORP-DP-OR,CA1:TH-ORP-DP-OR,1,1,,,,113,111,
4031,449,active,CA1 (-)0102 stratum oriens-targeting interneuron specific-1 (SO IS-1) neurons,Interneuron spec-6 (-)0102,-,CA1,SO_IS-1,CA1:SO_IS-1,1,,,,,102,,
4039,450,active,CA1 (-)0012 basket cells-fast spiking perisomatic targeting interneurons (BC-FSPTI),Perisomatic target (-)0012,-,CA1,BC-FSPTI,CA1:BC-FSPTI,1,,,,,12,,
4038,451,active,CA1 (-)0012 axo-axonic horizontal (AA horz) neurons,Axo-axonic horiz (-)0012,-,CA1,AA_horz,CA1:AA_horz,1,,,,,12,,
4033,452,active,CA1 (-)0003 calbindin-stratum oriens startum oriens (CB-SOSO) neurons,Oriens-oriens (-)0003,-,CA1,CB-SOSO,CA1:CB-SOSO,1,,,,,3,,
,,,,,,,,,,,,,,,,
5001,501,active,SUB (+)331p-EC 000111 pyramidal cells-entorhinal cortex projecting (PC-EC),Pyramidal (+)331p,+,SUB,PC-EC,SUB:PC-EC,10,1,,,,,331,111
5005,502,active,SUB (+)331p-CA1 1110 pyramidal cells-CA1 projecting (PC-CA1),Pyramidal-CA1 (+)331p,+,SUB,PC-CA1,SUB:PC-CA1,10,1,,,,1110,331,
5003,503,frozen,SUB (+)030-CA1 0101 pyramidal cells nitric oxide synthase positive (PC NOS),,+,SUB,PC_NOS,SUB:PC_NOS,,1,,,,,,
5006,504,frozen,SUB (-)300 parvalbumin-positive (PV) neurons,,-,SUB,PV,SUB:PV,,,,,,,,
5002,505,active,SUB (-)210 axo-axonic (AA) neurons,Axo-axonic (-)210,-,SUB,AA,SUB:AA,110,,,,,,210,
,,,,,,,,,,,,,,,,
6082,601,active,EC (+)333000p-DG 1000-SUB 111 excitatory neurons,Pyramidal II-III (+)333000p,+,EC,excitatory,EC:excitatory,11000,1,1000,,,,111,333000
6002,602,active,EC (+)331131p-DG 1100-SUB 101 pyramidal cells V-dentate gyrus and subiculum projecting (PC V-DG-SUB),Bipolar V (+)331131p,+,EC,PC_V-DG-SUB,EC:PC_V-DG-SUB,10,1,1100,,,,101,331131
6003,603,active,MEC (+)331111p-DG 1000-CA3 10000-CA2 1000-SUB 111 stellate cells II (SC II),Stellate II (+)331111p,+,EC,SC_II,EC:SC_II,10000,1,1000,10000,1000,,111,331111
6005,604,active,EC (+)331000p-DG 1000-SUB 101 excitatory II neurons,Sub proj II (+)331000p,+,EC,excitatory_II,EC:excitatory_II,10000,1,1000,,,,101,331000
6006,605,active,MEC (+)313300 complex pyramidal cells III medial (cmplx PC III med),Medial pyramidal III (+)313300,+,EC,cmplx_PC_III_med,EC:cmplx_PC_III_med,1000,,,,,,,313300
6007,606,active,LEC (+)233310 complex pyramidal cells III lateral (cmplx PC III lat),Lateral pyramidal III (+)233310,+,EC,cmplx_PC_III_lat,EC:cmplx_PC_III_lat,1000,,,,,,,233310
6008,607,active,EC (+)233111 pyramidal cells-multiform cells II (PC-MFC II),Pyramidal II (+)233111,+,EC,PC-MFC_II,EC:PC-MFC_II,10000,,,,,,,233111
6094,608,active,EC (+)231000 fan-oblique pyramidal-multipolar-pyramidal (FOMP) neurons,Multiform II (+)231000,+,EC,FOMP,EC:FOMP,10000,,,,,,,231000
6095,609,active,EC (+)223331 horizontal-bipolar-pyramidal (HOBIPPY) neurons,Multiform III-IV-V (+)223331,+,EC,HOBIPPY,EC:HOBIPPY,1110,,,,,,,223331
6092,610,active,EC (+)223200p-CA1 1000-SUB 100 pyramidal cells III (PC III),Pyramidal III (+)223200p,+,EC,PC_III,EC:PC_III,1000,1,,,,1000,100,223200
6017,611,active,EC (+)223111p-CA1 1000-SUB 100 pyramidal cells III small (PC III sm),Small pyramidal III (+)223111p,+,EC,PC_III_sm,EC:PC_III_sm,1000,1,,,,1000,100,223111
6018,612,active,EC (+)223000 stellate cells III (SC III),Stellate III (+)223000,+,EC,SC_III,EC:SC_III,1000,,,,,,,223000
6019,613,active,MEC (+)221100 oblique pyramidal cells-stellate cells II (OPC-SC II),Oblique pyramidal II (+)221100,+,EC,OPC-SC_II,EC:OPC-SC_II,10000,,,,,,,221100
6085,614,active,EC (+)220233p-DG 1000 pyramidal cells V-dentate gyrus projecting (PC V-DG),Dentate pyramidal V (+)220233p,+,EC,PC_V-DG,EC:PC_V-DG,10,1,1000,,,,,220233
6021,615,active,EC (+)220033 pyramidal cells V small (PC V sm),Small pyramidal V (+)220033,+,EC,PC_V_sm,EC:PC_V_sm,10,,,,,,,220033
6023,616,active,MEC (+)213330 pyramidal cells V (PC V),Pyramidal V (+)213330,+,EC,PC_V,EC:PC_V,10,,,,,,,213330
6046,617,frozen,LEC (?)202200 medium multipolar neurons III (med MPN III),,,EC,med_MPN_III,EC:med_MPN_III,,,,,,,,
6024,618,active,MEC (+)133100 bipolar neurons III (BPN III),Bipolar III (+)133100,+,EC,BPN_III,EC:BPN_III,1000,,,,,,,133100
6025,619,active,LEC (+)113330 multipolar neurons III lateral (MPN III lat),Lateral multipolar III (+)113330,+,EC,MPN_III_lat,EC:MPN_III_lat,1000,,,,,,,113330
6026,620,frozen,MEC (+)113310 multipolar neurons 2 III (MPN 2 III),,+,EC,MPN_2_III,EC:MPN_2_III,,,,,,,,
6029,621,frozen,EC (+)022200 large multipolar neurons III (lg MPN III),,+,EC,lg_MPN_III,EC:lg_MPN_III,,,,,,,,
6031,622,active,MEC (+)003310 multipolar neurons III medial (MPN III med),Medial multipolar III (+)003310,+,EC,MPN_III_med,EC:MPN_III_med,1000,,,,,,,3310
6050,623,frozen,EC (+)002331 globular neurons IV/V (GN IV-V),,+,EC,GN_IV-V,EC:GN_IV-V,,,,,,,,
6077,624,frozen,EC (-)002222 multipolar neurons 2 V (MPN 2 V),,-,EC,MPN_2_V,EC:MPN_2_V,,,,,,,,
6032,625,frozen,EC (-)002200 large multipolar neurons 2 III (lg MPN 2 III),,-,EC,lg_MPN_2_III,EC:lg_MPN_2_III,,,,,,,,
6051,626,frozen,EC (-)002000 small spherical multipolar neurons III (sm sph MPN III),,-,EC,sm_sph_MPN_III,EC:sm_sph_MPN_III,,,,,,,,
6033,627,active,MEC (+)001331 multipolar neurons V (MPN V),Multipolar V (+)001331,+,EC,MPN_V,EC:MPN_V,10,,,,,,,1331
6078,628,active,LEC (+)001133 multipolar neurons-2 VI (MPN-2 VI),Multipolar VI (+)001133,+,EC,MPN-2_VI,EC:MPN-2_VI,1,,,,,,,1133
6086,629,active,EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI),Multipolar V-VI (+)000333p,+,EC,MPN_V-VI,EC:MPN_V-VI,11,1,,,,,111,333
6052,630,active,EC (+)000023 pyramidal cells-polymorphic cells V/VI (PC-PMC V/VI),Pyramidal V-VI (+)000023,+,EC,PC-PMC_V/VI,EC:PC-PMC_V/VI,11,,,,,,,23
6072,631,frozen,EC (-)333111 pyramidal cells III nonspiny (PC III nonspiny),,-,EC,PC_III_nonspiny,EC:PC_III_nonspiny,,,,,,,,
6038,632,active,MEC (-)333000 type 4 III neurons,Superficial inhib III (-)333000,-,EC,type_4_III,EC:type_4_III,1000,,,,,,,333000
6040,633,active,EC (-)233000 multipolar inhibitory type 1 III (MPI 1 III) neurons,Multipolar inhib III (-)233000,-,EC,MPI_1_III,EC:MPI_1_III,1000,,,,,,,233000
6053,634,active,EC (-)230000 multipolar inhibitory-basket cells II (MPI-BC II),Basket II (-)230000,-,EC,MPI-BC_II,EC:MPI-BC_II,10000,,,,,,,230000
6047,635,active,EC (-)113220 multipolar inhibitory type 2 III (MPI 2 III) neurons ,Multipolar III (-)113220,-,EC,MPI_2_III,EC:MPI_2_III,1000,,,,,,,113220
6079,636,frozen,EC (-) 111021 horizontal inhibitory V (HI V) neurons,,-,EC,HI_V,EC:HI_V,,,,,,,,
6048,637,active,EC (-)030000 axo-axonic II (AA II) neurons,Axo-axonic II (-)030000,-,EC,AA_II,EC:AA_II,10000,,,,,,,30000
6087,638,active,EC (-)023300 pyramid looking-bipolar neurons III (PL-BPN III),Pyramidal-like III (-)023300,-,EC,PL-BPN_III,EC:PL-BPN_III,1000,,,,,,,23300
6049,639,active,EC (-)023000 multipolar inhibitory 3 III (MPI 3 III) neurons,Multiform III (-)023000,-,EC,MPI_3_III,EC:MPI_3_III,1000,,,,,,,23000
6076,640,frozen,EC (-)023000 axo-axonic II/III (AA II-III) neurons,,-,EC,AA_II-III,EC:AA_II-III,,,,,,,,
