Suspended Flag,Reference ID,Marker Name,Cell Type,Material used,Location in reference,Protocol Reference,Location in reference,Species Reference,Location in references,Notes/Interpretations,Authors,Title,Journal/Book,Year,PMID/ISBN,Supporting References,,
,160172,,,"""Of all the pro-CCK[cholecystokinin]-positive cells, 29.2 +/- 2.4% were
also labelled for calbindin, whereas of all the calbindin-positive
cells, 53.4+/- 5.3% were also pro-CCK-positive.
The frequency of pro-CCK-positive cells which also
expressed calbindin, or the proportion of calbindin-positive
cells which also expressed pro-CCK, was not significantly
different at the two tested ages (P>0.05, [chi-squared] test).""",p 72 left bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160174,CCK,CA1 pyr,"""In stratum pyramidale, interneurones were identified
by their much stronger immunoreactivity for pro-CCK[cholecystokinin]
as compared to pyramidal cells, which were also immunopositive
(Fig. 5A, B).""",p 71 left bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160176,CB,CA1 pyr,"""The calbindin-expressing, pro-CCK[cholecystokinin]-immunonegative interneurones
could not be counted in the pyramidal layer, because
in the adult animal many pyramidal cells also express
calbindin at a similar level to interneurones (Baimbridge
and Miller, 1982; Baimbridge et al., 1991; Sloviter, 1989;
Toth and Freund, 1992).""",p 71 left bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160178,CCK; CB,"CA1 SP pyr, SR pyr","""We detected a significantly higher degree of coexistence
of CCK [cholecystokinin] and calbindin than reported previously
using a different technique (Gulyas et al., 1991). Pyramidal
cells express pro-CCK (Morino et al., 1994; see
above) and a population of them also expresses calbindin
(Baimbridge and Miller, 1982). Furthermore, pyramidal
cells are scattered throughout stratum radiatum
(Maccaferri and McBain, 1996b), and if these contained
pro-CCK and/or calbindin immunoreactivity they would
contribute to the population of immunoreactive cells
counted. However, pro-CCK immunoreactivity is generally
much weaker in pyramidal cells in stratum pyramidale,
than in interneurones, and radiatum pyramidal cells
have large apical dendrites (Maccaferri and McBain,
1996a,b; Gulyas et al., 1998). Therefore, we have scored
weakly pro-CCK-immunoreactive cells in stratum radiatum
as potential pyramidal cells on the basis of weak
immunoreactivity and a major dendrite oriented towards
stratum lacunosum-moleculare, before detecting the calbindin
immunoreactivity. Overall, in six animals, only
7.1% (n =7 cells) of pro-CCK-immunoreactive cells
were scored as potential pyramidal cells in stratum radiatum,
and 71.4% of them (n= 5 cells) were immunopositive
for calbindin; but some or all of these cells could
have been interneurones. Therefore, we conclude that, in
our preparation, pyramidal cells made a minor if any
contribution to pro-CCK- and calbindin-immunoreactive
cell bodies in strata radiatum and lacunosum.""",p 71 right mid,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160180,CCK,CA1 SR basket cells,"""Basket cells identified here as expressing pro-CCK [cholecystokinin] are
very likely identical to neurochemically uncharacterised
basket cells described in stratum radiatum (Cossart et al.,
2001a) and its border with stratum lacunosum
(Kawaguchi and Hama, 1988; Vida et al., 1998).""",p 72 left bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160182,CCK,CA1 SO basket cells,"""One CCK[cholecystokinin]-immunopositive basket cell has been reported
with cell body located in deep stratum oriens and having
horizontal dendrites (Maccaferri et al., 2000). These basket
cells are undoubtedly homologous to those in the
isocortex, which have been shown to be immunopositive
for CCK (Freund et al., 1986; Kawaguchi and Kubota,
1997, 1998; Kubota and Kawaguchi, 1997).""",p 72 right bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160184,CCK; CB,CA1 SC-assoc,"""The expression of CCK [cholecystokinin] by Schaffer collateral-associated cells makes it
likely that they are homologous to the GABAergic double
bouquet cells in the isocortex described in the cat and
primates (Ramon y Cajal, 1899; Szentagothai, 1975;
Somogyi and Cowey, 1981; Tama¨s et al., 1997). Double
bouquet cells have been identified on the basis of tight
radial axonal bundles and were shown to express CCK
and calbindin (Freund et al., 1986; DeFelipe et al., 1989;
DeFelipe and Jones, 1992; del R|¨o and DeFelipe, 1997).
The presence of both CCK and calbindin immunoreactivity
in two Schaffer collateral-associated cells described
here further supports the homology.""",p 74 right top,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160186,CCK; PV,CA1 Basket,"""In addition to CCK[cholecystokinin]-expressing
basket cells, another population that expresses PV [parvalbumin]
also targets pyramidal cell somata and proximal dendrites.
Although the terminals of the two distinct basket
cell populations are intermingled on the postsynaptic cell
surface, they act through partially distinct GABA[gamma-aminobutyric acid]A
receptors (Thomson et al., 2000). The synapses made
by terminals of CCK-expressing basket cells, which comprise
about one third of the synapses on the soma, contain
a much higher level of K2 subunit-containing
receptors than those made by PV-positive terminals,
although the two populations contain a similar number
of receptors (Nyiri et al., 2001).""",p 75 right mid,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160188,Cannabinoid type 1 receptor,CA1 basket cells,"""CCK[cholecystokinin]-immunopositive, GABA[gamma-aminobutyric acid]ergic interneurones in
the hippocampus and isocortex have been shown to
express a high level of the cannabinoid type 1 (CB1)
receptor (Marsicano and Lutz, 1999; Tsou et al., 1999).
The receptor is located presynaptically on basket cell
terminals and probably also on terminals of CCK-positive
cells which target the dendrites (Katona et al., 1999;
Ha¨jos et al., 2000; Katona et al., 2000), thus the two cell
types described here share several signalling mechanisms.""",p 76 right top,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160190,nNOS,pyr,"""The existence of nNOS [neuronal nitric oxide synthase] in hippocampal pyramidal neurons has
been previously reported (Wendland et al., 1994; Chiang et
al., 1994), but this not always has been the case (Vincent
and Kimura, 1992; Lin and Totterdell, 1998).""",p 399 left top,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160192,nNOS,GC; Pyr,"""Recently, Iwase et al. (1998) detected moderate nNOS [neuronal nitric oxide synthase] mRNA in
granule cells of the dentate gyrus (DG) and pyramidal
neurons of the Ammons horn by in situ hybridization. In
contrast, many previous studies that used immunocytochemistry
and NADPH-diaphorase histochemistry reported
that nNOS [neuronal nitric oxide synthase]-containing nonprincipal neurons, which
were regarded as almost GABAergic neurons, were scattered
sporadically throughout the hippocampus (Valtschanoff
et al., 1993; Megias et al., 1997a,b).""",p 399 left top,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160194,nNOS,mouse pyr,"""Two groups of nNOS[neuronal nitric oxide synthase]-IR[immunoreactive] neurons were observed, nonprincipal
and principal neurons. We distinguished nNOS-IR
nonprincipal neurons from principal neurons mainly based
on their morphologic features. The nNOS-IR nonprincipal
neurons were scattered throughout layers in all hippocampal
areas, especially numerous in the subgranular zone of
the DG and stratum pyramidale (SP) of the Ammons horn
(Fig. 4). They were also concentrated in a border area
between the stratum lacunosum-moleculare (SLM) and
stratum radiatum (SR) in the Ammons horn. (Fig. 4). The
distribution pattern of nNOS-IR nonprincipal neurons in
the mouse hippocampus was similar to those reported
previously in the rat hippocampus by using NADPHdiaphorase
histochemistry and nNOS immunocytochemistry
(Valtschanoff et al., 1993; Nomura et al., 1997a,b).""",p 401 right mid,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160196,nNOS,mouse pyr,"""A part of principal neurons in the mouse hippocampus
were nNOS[neuronal nitric oxide synthase]-IR[immunoreactive], although their immunoreactivities were
weaker than nNOS-IR nonprincipal neurons (Fig. 4).""",p 401 right bot,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160198,nNOS ,pyr,"""The existence of nNOS [neuronal nitric oxide synthase] in hippocampal pyramidal neurons
have been demonstrated by using single-cell PCR
(Chiang et al., 1994) and in situ hybridization (Iwase et al.,
1998).""",p 408 right bot,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160200,nNOS,pyr,"""The existence of nNOS [neuronal nitric oxide synthase] in hippocampal pyramidal neurons
have been demonstrated by using single-cell PCR
(Chiang et al., 1994) and in situ hybridization (Iwase et al.,
1998). By contrast, there remains some dispute about
detection of nNOS [neuronal nitric oxide synthase] immunoreactivity in hippocampal pyramidal
neurons. Dinerman et al. (1994) detected only the
endothelial NOS (eNOS) immunoreactivity in the rat
hippocampal pyramidal neurons. Wendland et al. (1994)
reported the nNOS [neuronal nitric oxide synthase] immunoreactivity in CA1 pyramidal
neurons in the rat hippocampus by using a primary
antibody at high concentration with acetone fixation.
Recently, Lin and Totterdell (1998) reported the absence of
nNOS [neuronal nitric oxide synthase]-IR CA1 pyramidal neurons in the rat hippocampus.""",p 408 right bot,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160202,nNOS,pyr,"""Our present results showed that a part of pyramidal
neurons in the mouse hippocampus were nNOS [neuronal nitric oxide synthase]-IR [immunoreactive]. Although
their immunoreactivities were weaker than nonprincipal
neurons, the remarkable regional and dorsoventral
differences were observed. At present, we cannot
explain the differences in nNOS [neuronal nitric oxide synthase] immunoreactivity in
pyramidal neurons among these studies, but it is possible
that the discrepancy results from differences in species, dorsoventral levels of samples, and tissue processing protocols.""",p 408 right bot,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160203,"CB, nNOS",CA1 pyr,"""Fig. 6. Immunofluorescent triple-labeled confocal laser scanning microscope images for calbindin D-28K (calbindin; A), neuronal nitric oxide
synthase (nNOS; B), and glutamic acid decarboxylase 67 (GAD67; C) in the CA1 region at the ventral level. Apical dendrites and cell bodies of the
pyramidal neurons located in the superficial pyramidal cell layer are calbindin-immunoreactive (IR)/GAD67 negative, and most of them are
nNOS-IR. Some of the pyramidal neurons (for example, No. 1 inA) in a border area between the deep pyramidal cell layer and the stratum oriens
are also calbindin-IR/GAD67 negative, but they lack nNOS immunoreactivity.AnNOS-IR nonprincipal neuron (No. 2 in B,C) is GAD67-IR, and a
nNOS-negative/GAD67-IR nonprincipal neuron (No. 3 in C) is also stained. SO, stratum oriens; SP, stratum pyramidale; SR, stratum radiatum.""",p 405,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160204,,,"""Our present results revealed that the majority of GABA[gamma-aminibutyric acid]ergic neurons in the
ML [molecular layer] of the DG [dentate gyrus] (about 80%) and SLM [stratum lacunosum-moleculare] of the CA3 region (about 60%) were nNOS [neuronal nitric oxide synthase]-IR [immunoreactive]. These neurons were considered
to be driven by entorhinal afferents based on the
location of their dendritic trees (Lorente de No´, 1934),
although recent intracellular labeling techniques have
demonstrated their morphologic diversity (for review, see
Freund and Buzsaki, 1996).""",p 409 right,,,,,,"Jinno S, Aika Y, Fukuda T, Kosaka T",Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,J. Comparative Neurol,1999,10404408,,,
,160206,CB,CA1 pyr,"""We thus summarize the results concerning glutamatergic principal neurons and CB [calbindin]
expression briefly. In the CA1 region, most pyramidal cells
close to the stratum radiatum were weakly to moderately
CB-positive both at the dorsal and ventral levels (Figs. 3A,B).""",p 4 right mid,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
,160208,,,"""In addition, we encountered a few strongly CB[calbindin]-positive cells
adjacent to the stratum oriens mainly at the ventral level. These
cells were negative for GAD[glutamic acid decarboxylase]67, but positive for the GluR[glutamate receptor]2/3
subunits of AMPA [alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate] receptor, a marker of glutamatergic neurons
in the hippocampus (Fig. 3C; Leranth et al., 1996). Thus, they
were also considered to be pyramidal neurons.""",p 4 right mid,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
,160210,CB,CA3 pyr,"""In the CA3 region, all pyramidal cells were CB-negative (Fig. 3D).""",p 4 right mid,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
,160212,CB,GC,"""In the DG [dentate gyrus], the majority of granule cells were CB[calbindin]-positive (Fig. 3E).
Although we encountered a few small CB-negative cells at the
border between the granule cell layer and hilus, these cells were
negative for GluR[glutamate receptor]2/3 (Fig. 3F). They thus were less likely to
be mature glutamatergic granule cells.""",p 4 right bot,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
,160214,CB,CA1 pyr,"""We then estimated expression rates of CB [calbindin] in CA1 pyramidal
neurons (Table 2). In the total area of CA1 region, the expression
rates were about 45%, and there was no significant dorsoventral
difference.""",p 5 left ,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
,160216,CB,GC; CA1 pyr; CA3 pyr,"""In the hippocampus, earlier studies have shown that CB [calbindin] is present in all dentate granule cells and some
CA1 pyramidal neurons, but absent in CA3 pyramidal neurons
(Baimbridge and Miller, 1982).""",p 10 right top,,,,,,Jinno S and Kosaka T,Steriological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,Hippocampus,2009,19655319,,,
