Word count of material used ,Cross-checked,Entered in axon-dendrite spreadsheet,Altered,ReferenceID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,PMCID,Notes,Replaced,CellType Proofreadby,CellType Proofreaddate,CellType Unique ID,Figure filename,A-D check
72,MR,,RW,402,DG HICAP 2322,"""The HICAP [hilar commissural associational pathway related] cell of Han et al. (1993), which may correspond to a separate population of CCK+ [cholecystokinin-positive] GPP cells (see Non-principal cells: GABA [gamma aminobutyric acid]ergic peptidergic polymorphic (GPP) cells), does send dendrites into the ML [molecular layer of the dentate gyrus].  Soriano and Frotscher (1993a) have also described a type of sparsely spinous polymorphic cell that receives asymmetric synapses on dendrites in the outer ML.""","p259, left top","DG HICAP 2322

[Y:DG:HICAP:S:DG:H]{#4}, [Y:DG:HICAP:D:DG:SMo]{#4}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,DWW
33,MR,,RW,405,DG MOPP-neurogliaform (MOPP-NGF) cells,"""The dendritic arbors of MOPP [molecular layer perforant path-associated] cells are confined to the perforant path terminal zone and are thus very likely to receive PP [perforant path] input (Han et al., 1993).""","p259, left mid","MOPP-neurogliaform (MOPP-NGF) cells

[Y:DG:MOPP:D:DG:SMo]{#3}, [N:DG:MOPP:D:DG:SG_H]{#3}, [N:DG:MOPP:D:CA3:SLM_SR_SL_SP_SO]{#3}, [N:DG:MOPP:D:CA2:SLM_SR_ SP_SO]{#3}, [N:DG:MOPP:D:CA1:SLM_SR_SP_SO]{#3}, [N:DG:MOPP:D:SUB:SM_ SP_PL]{#3}, [N:DG:MOPP:D:EC:I_II_III_IV_V_VI]{#3},","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81095,,,,,,DWW
199,MR,,RW,408,DG 2201-CA3 00110 granule cells,"""The mossy fiber axons of granule cells project to CA3.  They also emit a system of collaterals in the hilus, known at least since the work of Cajal (1893), that synapse with diverse targets within the DG [dentate gyrus].  In the septal portion of the DG, these collaterals appear to remain confined largely within the hilus (Cavazos et al., 1992; Claiborne et al., 1986).  Temporally, however, there is evidence that some collaterals project into the molecular layer, where they might contact granule cell dendrites recurrently (Cavazos et al., 1992).  Claiborne et al., (1986) labeled mossy fiber collaterals intracellularly with HRP [horseradish peroxidase] in hippocampal slices.  Since few cut collateral ends were seen, these investigators concluded that each plexus is largely confined to a septotemporal lamella about 400-500 microm in extent containing the soma.  The domain of each arbor in the transverse direction was found to depend on the transverse location of the soma.  Those near the tip of the IB [inner blade] had collateral arbors confined to the hilar region directly beneath the IB.  Cells closer to the crest, and up to at least the midpoint of the OB [outer blade], sent collaterals into the central hilus.""","p263, left mid","DG 2201-CA3 00110 granule cells

[Y:DG:granule:A:DG:H]{#3},
<Claiborne (1986) is in this packet>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81105,,,,,,DWW
28,MR,,MR,411,DG 2201-CA3 00110 granule cells,"""Claiborne et al. (1986) reported that each mossy fiber emits 5-12 hilar collaterals (mean 7 +/- 0.5; n = 18), which give rise to secondary and tertiary branches.""","p263, left bot","DG 2201-CA3 00110 granule cells [Y:DG:granule:A:DG:H]{#3}, <Claiborne (1986) is in this packet>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,DWW
60,MR,,RW,414,DG 2232 Basket Cells,"""DG [dentate gyrus] basket cell axonal arbors spread in and near the GL [granule cell layer] and synapse onto the somata and proximal dendrites of granule cells (Amaral, 1978; Buhl et al., 1994a; Halasy and Somogyi, 1993b; Han et al., 1993; Lorente de No, 1934; Ribak and Seress, 1983; Seress and Ribak, 1983; see discussion in Frotscher et al., 1992).""","p264, left bot","DG 2232 Basket Cells
[Y:DG:basket:A:DG:SG]{#4}
<@@ unknown @@>

<Rule 4, Section 3, Subsection ii, Clause 3 - perisomatic targeting interpreted as SG>
<Amaral, 1978, to be mined>, <Buhl et al., 1994a, to be mined>, <Halasy and Somogyi, 1993b, to be mined>, <Han et al., 1993, is in this packet>, <Ribak and Seress, 1983, is in this packet>, <Seress and Ribak, 1983, to be mined>, <Frotscher et al., 1992, to be mined>, <synapse on GC somata and proximal dendrites>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81110,,,,,1,basket unknown
134,MR,,RW,417,DG 2233 axo-axonic (AA) cells,"""Chandelier [axo-axonic] cells are GABA[gamma aminobutyric acid]ergic inhibitory neurons whose principal postsynaptic targets are the axon initial segments of granule cells (Buhl et al., 1994a,b; Han et al., 1993; Soriano and Frotscher, 1989; Soriano et al., 1990; see discussion in Frotscher et al., 1992).  They possess extensive dendritic arbors in the ML [molecular layer of the dentate gyrus] and appear to receive PP [perforant pathway] input (see Extrinsic input: The retrohippocampal region).  Some also send dendrites into the hilus, where they receive granule cell mossy fiber collateral input (see Intrinsic connections: Granule cells).  Electrophysiological evidence confirms that they are inhibitory and that their inhibition is mediated by GABA [gamma aminobutyric acid]A receptors (Buhl et al., 1994a). Nusser et al. (1995) reported immunolabeled GABAA receptors at chandelier terminals onto granule cell axon initial segments.""","p266, left mid","DG 2233 axo-axonic (AA) cells

<chandelier cells>, <principally target axon initial segments of granule cells>, [Y:DG:axo-axonic:D:DG:SMo]{#4}, [Y:DG:axo-axonic:A:DG:SG]{#4}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81115,,,,,,DWW
34,MR,,RW,420,DG 2233 axo-axonic (AA) cells,"""In addition to contacting granule cell axon initial segments, the [dentate gyrus] chandelier [axo-axonic] cell labeled by Han et al. (1993) also sent a dense meshwork of axonal fibers into the superficial and deep hilus.""","p266, right mid","420 DG 2233 axo-axonic (AA) cells

<chandelier cells>, <contact axon initial segments of granule cells>, [Y:DG:axo-axonic:A:DG:H_SG]{#4}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,DWW
65,MR,,RW,423,DG (-)3000 MOPP-neurogliaform (MOPP-NGF) cells,"""MOPP [molecular layer perforant path-associated] cells emit an axonal arbor confined, like the PP [perforant pathway] terminals, to the outer two-thirds of the ML [molecular layer of the dentate gyrus].  The axonal arbor, as described by Halasy and Somogyi (1993b) and Han et al. (1993), extended 2 mm in the transverse direction and sent a few branches into stratum moleculare of the adjoining area CA3.""","p266, right mid"," DG (-)3000 MOPP-neurogliaform (MOPP-NGF) cells

[Y:DG:MOPP:A:DG:SMo]{#3}, [N:DG:MOPP:A:DG:SG_H]{#3}, [N:DG:MOPP:A:CA3:SLM_SR_SL_SP_SO]{#3}, [N:DG:MOPP:A:CA2:SLM_SR_ SP_SO]{#3}, [N:DG:MOPP:A:CA1:SLM_SR_SP_SO]{#3}, [N:DG:MOPP:A:SUB:SM_ SP_PL]{#3}, [N:DG:MOPP:A:EC:I_II_III_IV_V_VI]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81120,,,,,,DWW
48,MR,,RW,429,"DG 2201-CA3 00110 granule cells, mossy","""Since the associational and commissural pathways are major inputs to the inner third of the ML [moleculare layer of the dentate gyrus], it seems reasonable to suppose that most [dentate] granule cell spines in this zone receive excitatory mossy cell inputs from this source (Amaral et al., 1990).""","p268, left top","DG (+)0103 mossy cells (MC)

[Y:DG:mossy:A:DG:SMi]{#3}

DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:D:DG:SMi]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,1,DWW
57,MR,,RW,432,"DG 2232 Basket Cells, DG 2233 axo-axonic (AA) cells","""Basket and chandelier [axo-axonic] cells are known to exhibit PV [parvalbumin] immunoreactivity (see Non-principal cells: Basket cells and Chandelier cells) and have dendrites, and, in some cases somata, in the inner third of the ML [molecular layer of the dentate gyrus] (Ribak and Seress, 1983; Seress and Pokorny, 1981; Soriano and Frotscher, 1989; Soriano et al., 1990).""","p268, left mid","DG 2232 Basket Cells

<Ribak and Seress, 1983, is in this packet>,
<Seress and Pokorny, 1981, to be mined>,
<Soriano and Frotscher, 1989, to be mined>,
<Soriano et al., 1990, to be mined>, <PV>, 
[Y:DG:basket:D:DG:SMi]{#3},
<@@ PV @@>,

DG 2233 axo-axonic (AA) cells

<chandelier cells>,
[Y:DG:axo-axonic:D:DG:SMi]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,1,basket PV
64,MR,,MR,435,DG HIPP 1002,"""The SOM+ [somatostatin-positive] GPP [GABA(gamma aminobutyric acid)ergic peptidergic polymorphic] cells appear to correspond to the HIPP [hilar perforant path-associated] cell described by intracellular labeling studies (Halasy and Somogyi, 1993b; Han et al., 1993; see discussion in Somogyi, 1994).  This cell type exhibits a hilar soma and an axon that arborizes in the outer two thirds of the ML [molecular layer of the dentate gyrus].  Hilar GABAergic cells with extensive axonal arbors in the outer ML have also been described by Soriano and Frotscher (1993a).""","p268, right bot","DG HIPP 1002

<somatostatin positive GABAergic peptidergic polymorphic cell>, [Y:DG:HIPP:D:DG:H]{#3}, [Y:DG:HIPP:A:DG:SMo]{#4}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,DWW
125,MR,,MR,441,"DG 2201-CA3 00110 granule cells, DG HICAP 2322","""These [dentate] cells appear to correspond to the HICAP [hilar commissural-associated pathway related] cell described by intracellular labeling studies (Halasy and Somogyi, 1993b; Han et al., 1993; see discussion in Somogyi, 1994).  Like CCK [cholecystokinin] GPP [gamma aminobutyric acidergic peptidergic polymorphic] cells, the soma of the HICAP cell is located in the subgranular zone, and its axon arborizes in the inner third of the ML [molecular layer of the dentate gyrus].  Buckmaster and Schwartzkroin (1994b) recently labeled a probable HICAP cell in vivo.  Its arbor extended across the full transverse width of the DG [dentate gyrus] and over 20% of its septotemporal length.  HICAP cells make synaptic contact onto the shafts or spines of spiny dendrites likely to derive from granule cells (Halasy and Somogyi, 1993b).""","p269, left mid","DG 2201-CA3 00110 granule cells

[Y:DG:granule:D:DG:SMi]{#3}

DG HICAP 2322

[Y:DG:HICAP:S:DG:H]{#3},
[Y:DG:HICAP:A:DG:SMi]{#3}
","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81145,,,,,,DWW
8,JR,2,,450,methods,"""Male Sprague-Dawley rats (22 +/1 4 days old) were deeply anaesthe tized with Nembutal, perfused intracardially with modified artificial cerebrospinal fluid, and decapitated. Tissue blocks containing the hippocampus were sectioned (350 microm/section). . . .""","p678, right mid","<Sprague-Dawley rats18-26 days old>
<in vitro 250 microm slices>","Ascoli GA, Brown KM, Calixto E, Card JP, Galvan EJ, Perez-Rosello T, Barrionuevo G",Quantitative morphometry of electrophysiologically identified CA3b interneurons reveals robust local geometry and distinct cell classes,The Journal of Comparative Neurology,2009,19496174,,,,,,,,DWW
145,1,2,MR,570,"CA1 1002 O-LM, CA1 2223 pyramidal ","O-LM cells (no. 1, Fig. 1)  In the CA1 area, O-LM [oriens--lacunosum-moleculare]  cells are located in stratum oriens and have horizontally extending dendrites with hairy spines on distal segments.  The axons of O-LM cells give few collaterals in stratum oriens but project mainly through the strata pyramidale and radiatum to branch heavily in stratum lacunosum-moleculare (Ramon y Cajal, 1893; McBain et al.,1994; Sik et al., 1995; Maccaferri & McBain, 1996), matching the glutamatergic input from the entorhinal cortex and thalamus.  The axons give some collaterals also in the deep stratum radiatum but do not cross the fissure to the dentate gyrus (Fig. 2F).  The main glutamatergic input to O-LM cells arises from local CA1 pyramidal cells (Blasco-Ibanez & Freund, 1995) and O-LM cells in turn project to the apical tuft of CA1 pyramidal cells and other interneurons (Katona et al., 1999a; Maccaferri et al., 2000).","p948, left mid","CA1 1002 O-LM cells [Y:CA1:O-LM:S:CA1:SO]{#3}, 
[Y:CA1:O-LM:D:CA1:SO]{#3}, 
[Y:CA1:O-LM:A:CA1:SLM]{#3}

<McBain 1994 is in the 1102 packet>
<Sik 1995 is in this packet>
<Maccaferri 1996 (and 1995) contains 
incomplete axons, so it could not be 
accurately placed into any of the O-LM 
packets>
<Blasco-Ibanez 1995 only contains a 
schematic of an O-LM 1002 cell; it is 
not currently included in this packet>
<Katona 1999 is in the 1103 O-LM packet>
<Maccaferri 2000 is in this packet>,                                                                                                                                                      CA1 2223 pyramidal cells [Y:CA1:pyramidal:A:CA1:SO]{#4},
[Y:CA1:pyramidal:D:CA1:SLM]{#4}",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,not free,main source,80190,RW,05/03/2012,,,DWW
102,1,,NZ,576,"CA1 0333 bistratified-ivy, CA1 1002 O-LM cells","Fig. 2. Distinct spike timing of a [CA1] bistratified and an O-LM[oriens--lacunosum-moleculare] interneuron during gamma oscillations.  (A) Reconstruction of the neurobiotin-labelled soma and dendrites (red; shown complete) and axons (yellow; shown from only five 70-microm-thick sections).  A pyramidal cell is superimposed in blue for orientation (different scale and animal). (B) Light micrograph of putative dendritic self-innervation sites (red arrow in A). Black and red arrowheads mark axon and dendrite, respectively. (C) Electron micrograph showing a terminal of the same bistratified cell (black) making a type 2 synapse (arrow) with an oblique pyramidal dendrite (dend). (D) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The bistratified cell fires preferentially at the ascending gamma phase. (E) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown with troughs at 0 [degrees], 360 [degrees] and 720 [degrees]). (F) Reconstructions of the neurobiotin-labelled somata and dendrites (red; shown complete) and axons (yellow; shown from only 12 70-microm-thick sections). (G) The neurobiotin-labelled O-LM cell is immunopositive for PV[parvalbumin], somatostatin and mGluR1a. (H) Extracellularly recorded action potentials (APs, top) and local field potentials (LFP, bottom, recorded extracellularly with a second electrode in SP) with filtered gamma oscillations (bandpass 30-80 Hz; middle). The O-LM cell firing is not coupled to any particular gamma phase. (I) Average discharge rates as a function of gamma phase (per 36 bin; two cycles are shown). SLM, stratum lacunosum moleculare; SR, stratum radiatum; SP, stratum pyramidale; SO, stratum oriens. Scale bars: A, 100 microm; B, 10 microm; C, 0.2 microm; D, horizontal 0.05 s; vertical from top to bottom 2 mV, 0.2 mV, 0.2 mV; F, 100 microm; G,10 microm; H, horizontal 0.1 s; vertical from top to bottom 0.2 mV, 0.1 mV, 0.4 mV. Reproduced, with permission, from Tukker et al. (2007). ","p949, Fig. 2","CA1 0333 bistratified-ivy [Y:CA1:bistratified:S:CA1:SP_SO]{#1}, 
[Y:CA1:bistratified:D:CA1:SR_SP_SO]{#1}, 
[Y:CA1:bistratified:A:CA1:SR_SP_SO]{#1},  

CA1 1002 O-LM cells [Y:CA1:O-LM:S:CA1:SO]{#1}, 
[Y:CA1:O-LM:D:CA1:SO]{#1}, 
[Y:CA1:O-LM:A:CA1:SLM]{#1}

<image reproduced from Tukker, Fuentealba, Hartwich, Somogyi, and Klausberger 2007; paper is not included here because it doesn't add anything to the packet>
<twelve 70-microm thick slices>",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,not free,main source,,RW,05/03/2012,,,bistratified
94,1,,NZ,597,CA1 0333 bistratified-ivy,"In contrast to neurogliaform cells innervating the apical tuft of pyramidal cells, the very dense axons of ivy cells (Fig. 4), resembling the thick branching of this plant, cover stratum oriens and radiatum [CA1], making synapses onto the basal and oblique dendrites of pyramidal cells (Fuentealba et al., 2008; Szabadics & Soltesz, 2009).  The cell bodies of ivy cells are located in stratum pyramidale and radiatum and the usually short dendrites can cover all layers.","p951, left mid","CA1 (-)0333 bistratified cells-ivy (BiC-ivy)
<subsection heading should read ""no. 6"" not ""no. 7>
[Y:CA1:ivy:S:CA1:SR_SP]{#3}, 
[Y:CA1:ivy:D:CA1:SR_SP_SO]{#4}, 
[Y:CA1:ivy:A:CA1:SR_SO]{#3}
Fuentealba et al., 2008
Szabadics & Soltesz, 2009",Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,not free,main source,80220; 100062,RW,05/03/2012,,,ivy
