Electrophysiological properties,,,,,,,,,,,,,PMID{Table_or_Figure#;Vrest ą SD (n)},PMID{Table_or_Figure#;Rin ą SD (n)},PMID{Table_or_Figure#;taum ą SD (n)},PMID{Table_or_Figure#;Vthresh ą SD (n)},PMID{Table_or_Figure#;FastAHP ą SD (n)},PMID{Table_or_Figure#;APampl ą SD (n)},PMID{Table_or_Figure#;APwidth ą SD (n)},PMID{Table_or_Figure#;MAxFR ą SD @Istimul (n)},PMID{Table_or_Figure#;SlowAHP ą SD @Istimul@time(n)},PMID{Table_or_Figure#;Sag_ratio ą SD @Istimul (n)},,PMID{Table_or_Figure#},PMID{Table_or_Figure#;Fr_adapt_ratio ą SD (n)@Istimul},PMID{Table_or_Figure#},,,,,"(0)-single pattern, (1)-neuron with 2 or more patterns, (2) - 2 or more subclasses, (3) -mixed evidences that could indicate  (1) or (2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphology of axons and dendrites ,,,,,,,,,,
DG,Outer molecular (-)3222 ,1-006*,1,1,1,F,,1,1,L,,,9151716 {Table1; -57.0_ ą_2.6 (3)},9151716 {Table1;252.3_ ą_78.0 (3)},9151716 {Table1;16.9_ ą_1.8 (3)},$ (not found),$ (not found),$ (not found),$ (not found),9151716_@,$ (not found),$ (not found),9151716_@,,9151716,$ (not found),"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.",,,,2,9151716_@,"9151716(p.3994,right bottom; p.3996, left middle; p.3998, Table1,OML) ?",,,,,,,,,,,,,,,"9151716(p.3994,right bottom; p.3996, left middle; p.3998, Table1,OML) {r}?",,,,,,,,,,,,,,,,,,,,OML,,,,,,"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.",,,,
DG,Neurogliaform (-)3000p ,1-007*,1,1,1,P,,1,1,L,,," 21452204 {p.1418, left;-75.6 ą0.9 (21)}"," 21452204 {p.1418, left;147 ą8(21)}"," 21452204 {p.1418, left;6.81 ą0.36(21)}"," 21452204 {p.1418, left; 45.6}", 21452204 {Fig.3A;14.56 }, 21452204 {Fig.3A;41.72},$ (not found),$ (not found), 21452204 {Fig.3A;2.19}, 21452204 {Fig.3A;0.95@-100}, 21452204_@,,21452204_@,$ (not found),"Armstrong C, Szabadics J, Tams G, Soltesz I.J Comp Neurol. 2011 Jun 1;519(8):1476-91",Fig. 3A,,,0,X_@,,,,21452204(Fig.3A){r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neurogliaform 3000 ,,21452204,,,Fig.1,"Armstrong C, Szabadics J, Tams G, Soltesz I.J Comp Neurol. 2011 Jun 1;519(8):1476-91",,,,
DG,MOPP (-)3000 ,1-008,1,1,1,P,,1,1,L,MOPP,2 (???)," 21452204 {p.1418, left;-75.6 ą0.9 (21)}"," 21452204 {p.1418, left;147 ą8(21)}"," 21452204 {p.1418, left;6.81 ą0.36(21)}"," 21452204 {p.1418, left; 45.6}", 21452204 {Fig.3A;14.56 }, 21452204 {Fig.3A;41.72},$ (not found),$ (not found), 21452204 {Fig.3A;2.19}, 21452204 {Fig.3A;0.95@-100}, 21452204_@,8261117,21452204_@,$ (not found),PMID#8261117- Han e tal. Eur J Neurosci. 1993 May 1;5(5):395-410. (m/e),"8261117.1: (""the molecular layer perforant pathassociated cell (MOPP cell) was not spontaneously active. When injecting a graded series of short depolarizing current pulses, the MOPP cell responded with an increasing number of action potentials which were followed by a short-latency AHP (Fig. 5C). Unlike the HICAP cell,the MOPP cell exhibited moderate spike frequency adaptation"", p.398 left bottom).",????See also PMID: 21452204 (Suppl Fig.1),,3,21452204_@,,,,,21452204 (Suppl Fig.1)?,,,,,,,,,,,8261117(Fig.5C)?,,,,,,,,,,,,,,,,,,,,MOPP,,8589792,372,"In intracellular labeling studies, Han et al. (1993) and Halasy and Somogyi (1993b) have recently described a cell, the MOPP {molecular layer perforant path-associated} cell, having both its dendritic and axonal arbor confined entirely to the outer two thirds of the ML {molecular layer}.","p250, right middle","Patton PE, McNaughton B.Hippocampus. 1995;5(4):245-86.",,,,
DG,Aspiny hilar (-)2333,1-027,1,1,2,F,,1,2,L,,,9497429{Table1 (IML aspiny interneuron); -64 ą 2(4)},9497429{Table1 (IML aspiny interneuron);363 ą 62(4)},9497429{Table1 (IML aspiny interneuron);30 ą 6(4)},9497429 {Fig.9C  ;  16 },9497429{Table1 (IML aspiny interneuron);12.3 ą 2.3(4)},"9497429 {Fig.9C  ;  [76, 77.9] }",9497429{Table1 (IML aspiny interneuron);0.50 ą 0.02(4)},9497429{Table1 (IML aspiny interneuron);81 ą 9@200@1000(4)},9497429{Table1 (IML aspiny interneuron);9. ą 2.7@200@1000(4)},9497429{Table1 (IML aspiny interneuron);0.80 ą 0.04@-50(4)},9497429,9497429,9497429_@,9497429,PMID#949729 - Lubke et al. 1998 ," 9497429.9: (Fig.9 B-D,IML)  ",,,1,, 9497429 (Fig.9C) {r} ,,,,,,,,,,,,,,, 9497429 (Fig.9B) {r}  ,,,,,,,,,,,,,,,,,,,,,,,,,,PMID#949729,,,,
DG,HICAP (-)2322,1-009*,3,1,2,P,,1,2,L,HICAP,3,,,,X_@,,,8261117,,,,X_@,8261117,8261117_@,$ (not found),Han e tal. Eur J Neurosci. 1993 May 1;5(5):395-410.,Fig. 1A,,,0,X_@,"8261117(fig,1A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICAP,,8915675,837,"{Dentate gyrus} Hilar border neurons with ascending axons and dendrites (HICAP cells). Han et al. (1993) named this cell type hilar commissural-associational pathway related (HICAP), indicating their major distinguishing features, i.e., the predominant innervation of the inner molecular layer (Fig. 9). The triangular cell body of these neurons is located in the polymorphic zone of the hilus or within stratum granulosum at the hilar border (Han et al., 1993; Soriano and Frotscher, 1993a; Buckmaster and Schwartzkroin, 1995b; Sik et al., submitted). The primary dendrites have a multipolar origin and give rise to several smooth or sparsely spiny branches that invade both the hilus and the molecular layer, with a small bias for the molecular layer in terms of total dendritic length.","p363, right middle","Freund TF, Buzski G.Hippocampus. 1996;6(4):347-470.",,,,
,,,,,,F,,,,,,,"9151716 {Table1, IML cells; -60.5_ ą_2.6 (7 SE)}","9151716 {Table1, IML cells;182.2_ ą_27.2(7 SE)}","9151716 {Table1, IML cells;  14.8_ ą_1.8 (7 SE)}",9151716 {Table 4; 21.5 },"9151716 {Fig.10 A, IML; 18.6}","9151716 {Table 4, normally adapting, nonadapting, strongly adapting; 57.9_ ą_2.9(2 SE), 59.0_ ą_6.5(3 SE),   69.0_ ą_4.9 (2 SE) }","9151716 {Table 4, normally adapting, nonadapting, strongly adapting; 1.13_ ą_0.07(2 SE), 0.86_ ą_0.11(3 SE),   1.10_ ą_0.11(2 SE) }",9151716_@,"9151716 {Fig.10 A, IML; 0 }",,9151716,9151716,9151716,$ (not found),"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.","(IML cells, Fig.10,11)   - no slow AHP",,,,9151716,9151716 (Fig.11A.B)#{r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9151716,,"""The IML cells probably correspond to the hilar commissuralĐassociational pathway (HICAP) cell of Han et al. (1993).""",Discussion,"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.",,,,
,,,,,,P,,,,,,,,,,X_@,,,,,,,X_@,9104599,,$ (not found),"Sik et al., Eur J Neurosci. 1997 Mar;9(3):573-88.",Fig.6,,,,X_@,9104599(Fig.6d)?{r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,IS-3 2313p,1-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Axo-axonic (-)2233,1-010*,2,1,2,P,,1,2,L,axo-axonic,2,,,,19965717_@,19965717_@,19965717_@,19965717_@,19965717_@,19965717_@,,X_@,19965717,19965717_@,$ (not found),"Hu H, Martina M, Jonas P., Science. 2010 Jan 1;327(5961):52-8.","19965717.1: (""Fig. S3. Properties of dendritic AP propagation in putative axo-axonic cells are similar to those in classical basket cells.""), p. 10, Suppl.",putative axo-axonic (???),,3,X_@,"19965717(Fig.S3,p10){r}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,axo-axonic,,,,,,,,,,
,,,,,,P,,,,,,,8035215 {p.1295; -65.1 ą 3.9 (14)},8035215 {p.1295; 73.9 ą 23.8 (14)},8035215 {p.1295; 7.7 ą 3.8 (14)},8035215 {Fig.5A; 8},8035215 {Fig.5A; 10},8035215 {p.1295; 64.1 ą 7.1 (13)},8035215 {p.1295; 0.389 ą 0.086 (13)},,8035215 {Fig.5A; 10.5@-634@484},,X_@,8035215,8035215,$ (not found),"Buhl EH, Han ZS, Lrinczi Z, Stezhka VV, Karnup SV, Somogyi P., J Neurophysiol. 1994 Apr;71(4):1289-307.",8035215.1:( Fig.5 A-C),,,,X_@,"8035215(Fig,5C){r}",,,,,,,,,,,,,,,"8035215(Fig,5A,B){r}",,,,,,,,,,,,,,,,,,,,,, 978-1-4419-0995-4,3783,"(3) AACs {axo-axonic cells} of DG {Dentate gyrus} were first described in detail by Han et al. (1993) and Buhl et al. (1994a, b). Somatodendritic morphology of AACs is largely similar to that of BCs {basket cells}. The output is directed exclusively to the axon initial segment of GCs. These synapses involve multiple contact sites; in case of one AAC-GC {granule cell} pair, eight contacts were identified and the number of AACs converging onto the same initial segment} was calculated to be five (Buhl et al., 1994a).","p56, lower","Vida I, Morphology of Hippocampal Neurons, In: Hippocampal Microcircuits, 2010.",Buhl et al.(1994b) - PMID#8035215,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,,,,,,,,,,,dendritic inhibitory, ??? checked (see notes),,,,,,,,,,,,,,,,Ref.3415 (unpublishrd observation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dendritic inhibitory,,,3415,,,not good  reference,,,,
DG,Basket (-)2232,1-035*,5,1,2,P,,1,1,L,basket PV,???????????????????1?,,20080772,20080772,X_@,,,,,,,X_@,19965717,,,"Freund and Buzsaki, 1996",,,,3,X_@,"19965717(Fig.1,2){r}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket VIP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freund and Buzsaki, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket PV,,600303,,"Fig. S1. Morphologic properties of BCs {basket cells} in the rat dentate gyrus. (A) Light-micrograph of a BC filled with biocytin during recording and stained using 3,3_- diaminobenzidine as chromogen. The projection of the 3D Neurolucida reconstruction is shown superimposed (somatodendritic domain in black, axon in red). CA3, cornu ammonis 3 cell layer. Boxes indicate regions shown at higher magnification in C. ","pS4, Figure S1A","Nrenberg A, Hu H, Vida I, Bartos M, Jonas P.,Proc Natl Acad Sci U S A. 2010 Jan 12;107(2):894-9. ",,,,
,,,,,,,,,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589793.5,"""FIGURE 3. General morphology of pyramidal-shaped cells recorded in the granule cell layer (GCL). A-H: Drawings of eight of the 17 pyramidal-shaped cells recorded in this study are shown.""","p.294, Fig.3C.",Cf. Fig. 7 PMID#17765709,Both figures show the same cell.,,,
,,,,,,F,,,,,(????????????????????????),,9497429 {Table 1;-62 ą 3(3)},9497429 {Table 1;43 ą 5(3)},9497429 {Table 1;10 ą 1(3)},"9497429 {Fig.3C; [17.6, 19.0]}",9497429 {Table 1;20 ą 2.3(3)},"9497429 {Fig.3C; [71.6, 73.6]}",9497429 {Table 1;0.25 ą 0.04(3)},9497429 { Table 1;230 ą 15@900@1000(3) },9497429 {Table 1;2.3 ą 0.2@900@1000(3)},9497429 {Table 1;0.97 ą 0.02@-300(3)},X_@,9497429,9497429_@ ????,9497429_@, (??????)PMID#949729 - Lubke et al. 1998 ,,,,,X_@,9497429 (Fig.3B){r},,,9497429 (Fig.3C){r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17765709,1763,"""Fig. 7. The pyramidal basket cell. A prototypical pyramidal basket cell is shown after intracellular injection of Neurobiotin. The montage that was created after visualization of the cell (A) and line drawing (B) illustrate the characteristics of this cell type.""","Fig.7, p.12, bottom","PMID#17765709 - Amaral DG, Scharfman HE, Lavenex P. Prog Brain Res. 2007;163:3-22.",,,,
,,,,,,P,,,2,L,basket pyramidal(CCK -?),1,"8589793 {p.290, right top; -62.3 ą 1.3 (17 SEM ) }","8589793 {p.290, right top; 91.3 ą 9.3 (17 SEM ) }",,X_@,,"8589793{ Table1, pyramidal shaped cells; 70.9 ą3.7(17 SEM) }","8589793{ Table1, pyramidal shaped cells; 1.17 ą0.16(17 SEM) }",,,,X_@,8589793,,8589793_@,PMID#8589793- Scharfman HE. Hippocampus. 1995;5(4):287-305.,"8589793.1: (Fig.5, p296), 8589793.2: (Fig.6, p296), 8589793.3: (Fig.7, p298), ","Pyramidal ""basket"" cell  (Fig.1)   ",,,X_@,8589793(Fig.6){i},,,8589793(Fig.5A){r},,,,,,,,,,,,8589793(Fig.6){r},,,,,,,,,,,,,,,8589793(Fig.5B),,,,,basket pyramidal,,8589793,8589793.4," ""The pyramidal-shaped neurons located at the base of the granule cell layer have been associated historically with a basket plexus around granule cell somata, and have been called pyramidal ""basket"" cells. """,Abstract,PMID#8589793- Scharfman HE. Hippocampus. 1995;5(4):287-305.,,,,
,Basket-CCK (-)2232,1-036,1,1,0,,,1,0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,,,,,,,,,,,fusiform,1,,,,,,,,,,,,2045880,,,Scharfman HE.J Neurosci. 1991 Jun;11(6):1660-73.,"2045880.1: (""Spiny hilar cells (n = 9) fell into two categories based on their
morphology. One group of cells had fusiform or oval cell bodies,
and the dendritic trees were bipolar (n = 3; Fig. 2). These cells
were similar to the fusiform spiny cells described by others
(Amaral, 1978; Ribak and Seress, 1988).""  p. 1665, left bottom).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fusiform,,17765717,2330,"""The fusiform cells of the rat dentate gyrus are located in the hilus, within 100 mm of the base of the granule cell layer (Fig. 5). These cells are one of the most prevalent cell types in the subgranular zone of the dentate gyrus (Ribak and Seress, 1988). The fusiform cells are bipolar, with oval cell bodies, and their dendrites typically run parallel to the granule cell layer, and within the subgranular zone (Fig. 5). The dendrites of these cells are either spiny or sparsely spiny. The spiny fusiform cell receives the majority of its input from the axon collaterals of the mossy fiber axons from the granule cells.""","p161, right upper","Ribak CE, Shapiro LA.Ultrastructure and synaptic connectivity of cell types in the adult rat dentate gyrus.Prog Brain Res. 2007;163:155-66.
",,,,
DG,IS-3 2013,1-018,,,,,,,,,checked - suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,HICAL (-)1333p,1-026,1,1,2,F,,1,2,L,,,9497429 {Table 1;-65 ą 6(3)},9497429 {Table 1;371 ą 47(3)},9497429 {Table 1;35(3)},"9497429 {Fig.6C; [25.1, 27.3] }",9497429 {Table 1;13.1 ą 3.0(3)},9497429 {Fig.6C; 80.8 },9497429 {Table 1;0.72 ą 0.08(3)},9497429 {Table 1;69 ą 4@800@1000(3)},9497429 {Table 1;3.1 ą 1.0@800@1000(3)},9497429 {Table 1;0.82 ą 0.02@-100(3)},9497429,9497429,9497429_@,9497429,PMID#949729 - Lubke et al. 1998 ," 9497429.6: (Fig.6, p.1527)  ",,,1,,,,, 9497429 (Fig.6C) ?  ,,,,,,,,,,,, 9497429 (Fig.6B) {r}  ,,,,,,,,,,,,,,,,,,,,,,,,,,PMID#949729,,,,
DG,,,,,,,,,,,Hilar project,Removed-Checked (excluded from ver. 0.8),,,,,,,,,,,,,,,Ref 844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hilar project,,,,,,,,,,
DG,HIPP (-)1002,1-013,2,1,1,P,,1,1,L,HIPP,2,$ (not found),9104599 {Fig.3A; 24},X_@,9104599 {Fig.3A; 19},9104599 {Fig.3A; 10.65},9104599 {Fig.3A; 44.46},9104599 {Fig.3A; 1.06},$ (not found),$ (not found),9104599 {Fig.3A; 0.96@-200},X_@,9104599,$ (not found),9104599_@,"Sik et al., Eur J Neurosci. 1997 Mar;9(3):573-88.",Fig3,,,0,X_@,9104599(Fig.3)?{r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIPP,,8915675,834,"Two {Dentate gyrus HIPP} cells appeared to have a bias toward the outer one-third (Buckmaster and Schwartzkroin, 1995a; Sik et al., submitted), where the lateral entorhinal afferents terminate, and another toward the middle one-third of the molecular layer, where the medial entorhinal afferents terminate. Several collaterals were also present in the inner one-third (Buckmaster and Schwartzkroin, 1995a). However, other examples of these cells have an almost equal innervation of the termination layers of the medial and lateral entorhinal cortex (Han et al., 1993; Sik et al., submitted), with a minor proportion of the axon in the inner molecular layer.","p363, left middle","Freund TF, Buzski G.Hippocampus. 1996;6(4):347-470.",,,,
,,,,,,P,,,,,,,$ (not found),$ (not found),$ (not found),X_@,,8261117_@,,$ (not found),$ (not found),,X_@,8261117,$ (not found),,Han e tal. Eur J Neurosci. 1993 May 1;5(5):395-410.,Fig.4,,,,X_@,8261117(Fig.4){r},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8915675,825,"{Dentate gyrus} Interneurons with hilar dendrites and ascending axons (HIPP cells). The most charactersitic type of cells innervating granule cell dendrites has a dendritic tree limited to the hilar region and an extensive axon arborization in the outer two-thirds of the molecular layer (Fig. 9; HIPP, hilar perforant path-associated cell of Han et al., 1993). ... Thus, the dendritic tree perfectly coincides with the distribution of mossy fiber collaterals and avoids the dentate molecular layer where entorhinal and commissural-associational afferents terminate.","p361, right upper","Freund TF, Buzski G.Hippocampus. 1996;6(4):347-470.",,,,
Area,neuronal class,Unique ID,,Print cc ,M,,subclass,Print ,M,Literature Search,neuronal class,,Vrest,Rin,tau,,Fast AHP,AP amplitude,AP width,Max Firing Rate,Slow AHP,,,I/O characteristics,Frequency adaptation,I/V characteristic, ,Ref ID: (citation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area,neuronal class,,PMID #/ISBN ,Reference ID,Citation,Location in reference,Notes,,,,
 CA3,Pyramidal a/b (+)23223p,2-000*,5,1,2,P,,1,2,L,pyramidal,5,16584711 {Fig. 3B; -63 },16584711,16584711 {Table 1; 42 ą 7 (10 SEM) },16584711 {Table 1; 19 ą 2 (10 SEM) },"16584711 {Fig. 3B; [2, 6.2] }",16584711 {Fig. 3B; 96 },,"9300769 { Table 1, CA3;40ą 12 (3 SEM)}",16584711 {Table 1; 8.2 ą 0.9 (10 SEM) },,X_@,16584711,16584711,,No I input,,no morphologogical data,,2,X_@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyramidal,no morphologogical data,,,,,,,,,
,,,,,,F,,,,,,,20510860 {Table 1; -74.4 ą 0.8},20510860 {Table 1;107.5 ą 28.1},Cm= 150.1 ą 26.1(pF),X_@,,20510860 {Table 1; 84.4 ą 4.4},20510860 {Table 1; 0.95 ą 0.03},,,20510860 {Table 1; 0.88@-279},X_@,20510860,,,"mice  ----Chevaleyre and Siegelbaum, 2010 ","20510860.3 (Table 1), Fig. 1",no morphologogical data,,,X_@,,,,,,,,,,,20510860( Fig. 1) {r}{i},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
