authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,type_mapping,packet
"West MJ, Slomianka L, Gundersen HJ",1793176,,,10.1002/ar.1092310411,,,482,497,Unbiased stereological estimation of the total number of neurons in thesubdivisions of the rat hippocampus using the optical fractionator,1991 Dec,Anat Rec,231,,0
"Leranth C, Malcolm AJ, Frotscher M",1971287,,,10.1002/cne.902950110,,,111,122,Afferent and efferent synaptic connections of somatostatin-immunoreactive neurons in the rat fascia dentata. ,1990 May 1,J Comp Neurol,295,1014: DG:fusiform: DG SS-positive cells,0
"Germroth P, Schwerdtfeger WK, Buhl EH",2026788,,,10.1002/cne.903050205,,,215,231,Ultrastructure and aspects of functional organization of pyramidal and nonpyramidal entorhinal projection neurons contributing to the perforant path,1991 Mar 8,J Comp Neurol,305,"6017: EC:PC_III_sm: EC layer III pyramid-like cells, EC layer III pyramidal neurons ### 6053: EC:MPI-BC_II: EC layer II multipolar neurons ### 6049: EC:MPI_3_III: EC layer III multipolar neurons",1
Celio MR,2199841,,,10.1016/0306-4522(90)90091-H,,,375,475,Calbindin D-28k and parvalbumin in the rat nervous system,1990,Neuroscience,35,4064: CA1:CB-PPA: CA1 CaBP+ neurons,0
"Amaral DG, Ishizuka N, Claiborne B",2203093,,,,,,1,11,"Neurons, numbers and the hippocampal network. ",1990,Prog Brain Res,83,,0
West MJ,2203095,,,,,,13,36,"Stereological studies of the hippocampus: a comparison of the hippocampal subdivisions of diverse species including hedgehogs, laboratory rodents, wild mice and men",1990,Prog Brain Res,83,,0
"Lacaille JC, Williams S",2215928,,,10.1016/0306-4522(90)90431-3,,,349,359,Membrane properties of interneurons in stratum oriens-alveus of the CA1 region of rat hippocampus in vitro,1990,Neuroscience,36,4055: CA1:O-A: CA1 interneurons in O-A ### 4051: CA1:O-A-2: CA1 interneurons in stratum oriens near the alveus junction; CA1 O-A interneurons,1
"Deller T, Leranth C",2266195,,,10.1002/cne.903000312,,,433,447,Synaptic connections of neuropeptide Y (NPY) immunoreactive neurons in the hilar area of the rat hippocampus. ,1990 Oct 15,J Comp Neurol,300,,0
"Ribak CE, Nitsch R, Seress L",2273087,,,10.1002/cne.903000402,,,449,461,Proportion of parvalbumin-positive basket cells in the GABAergic innervation of pyramidal and granule cells of the rat hippocampal formation,1990 Oct 22,J Comp Neurol,300,,0
"Claiborne BJ, Amaral DG, Cowan WM",2289972,,,10.1002/cne.903020203,,,206,219,"Quantitative, three-dimensional analysis of granule cell dendrites in the rat dentate gyrus",1990 Dec 8,J Comp Neurol,302,1000: DG:GC: Dentate gyrus granule cell,1
"Ishizuka N, Weber J, Amaral DG",2358523,,,10.1002/cne.902950407,,,580,623,Organization of intrahippocampal projections originating from CA3 pyramidal cells in the rat,1990 May 22,J Comp Neurol,295,"2000: CA3:PC-ab: pyramidal cell located in mid CA3, pyramidal cell located in distal CA3 ### 2004: CA3:PC-c: pyramidal cell located proximally in CA3 ### 3000: CA2:PC: CA2 projection",1
"Kosaka T, Kosaka K, Tateishi K, Hamaoka Y, Yanaihara N, Wu JY, Hama K",2413092,,,10.1002/cne.902390408,,,420,430,GABAergic neurons containing CCK-8-like and/or VIP-like immunoreactivities in the rat hippocampus and dentate gyrus. ,1985 Sep 22,J Comp Neurol,239,,0
"Ribak CE, Seress L, Amaral DG",2419523,,,10.1007/BF01170832,,,835,857,"The development, ultrastructure and synaptic connections of the mossy cells of the dentate gyrus",1985 Oct,J Neurocytol,14,1002: DG:MC: Dentate gyrus mossy cell,1
"Soriano E, Frotscher M",2611653,,,10.1016/0006-8993(89)91722-8,,,170,174,A GABAergic axo-axonic cell in the fascia dentata controls the main excitatory hippocampal pathway,1989 Nov 27,Brain Res,503,1010: DG:AA: Dentate gyrus axo-axonic cells,1
"Germroth P, Schwerdtfeger WK, Buhl EH",2765919,,,10.1016/0006-8993(89)90162-5,,,187,192,GABAergic neurons in the entorhinal cortex project to the hippocampus,1989 Aug 7,Brain Res,494,6049: EC:MPI_3_III: EC layer II and layer III multipolar cells,1
"Germroth P, Schwerdtfeger WK, Buhl EH",2771045,,,10.1016/0306-4522(89)90161-9,,,683,691,Morphology of identified entorhinal neurons projecting to the hippocampus. A light microscopical study combining retrograde tracing and intracellular injection,1989,Neuroscience,30,6092: EC:PC_III: EC layer III pyramids ### 6018: EC:SC_III: EC layer II / III spiny stellate cells ### 6049: EC:MPI_3_III: EC sparsely spinous multipolar neurons,1
"Bakst I, Avendano C, Morrison JH, Amaral DG",2872280,,,,,,1452,1462,An experimental analysis of the origins of somatostatin-like immunoreactivity in the dentate gyrus of the rat. ,1986 May,J Neurosci,6,,0
"Rapp PR, Amaral DG",2900062,,,,,,231,239,The time of origin of somatostatin-immunoreactive neurons in the rat hippocampal formation,1988 Jun 1,Brain Res,469,,0
Sloviter RS,2925892,,,10.1002/cne.902800203,,,183,196,Calcium-binding protein (calbindin-D28k) and parvalbumin immunocytochemistry: localization in the rat hippocampus with specific reference to the selective vulnerability of hippocampal neurons to seizure activity,1989 Feb 8,J Comp Neurol,280,"4033: CA1:CB-SOSO: CA1 CaBP-LI, CA1 calbindin-positive  ### 4064: CA1:CB-PPA: CA1 CaBP-positive neurons",1
"Woodson W, Nitecka L, Ben-Ari Y",2925894,,,10.1002/cne.902800207,,,254,271,Organization of the GABAergic system in the rat hippocampal formation: a quantitative immunocytochemical study,1989 Feb 8,J Comp Neurol,280,,0
"Kosaka T, Wu JY, Benoit R",3169171,,,10.1007/BF00247498,,,388,398,GABAergic neurons containing somatostatin-like immunoreactivity in the rat hippocampus and dentate gyrus,1988,Exp Brain Res,71,,0
"Kunkel DD, Lacaille JC, Schwartzkroin PA",3187908,,,10.1002/syn.890020405,,,382,394,Ultrastructure of stratum lacunosum-moleculare interneurons of hippocampal CA1 region,1988,Synapse,2,4005: CA1:NGF-LM: CA1 L-M interneuron,1
"Babb TL, Pretorius JK, Kupfer WR, Brown WJ",3209750,,,10.1002/cne.902780108,,,121,138,Distribution of glutamate-decarboxylase-immunoreactive neurons and synapses in the rat and monkey hippocampus: light and electron microscopy,1988 Dec 1,J Comp Neurol,278,,0
"Seress L, Ribak CE",3224425,,,10.1016/0165-3806(88)90218-0,,,197,209,The development of GABAergic neurons in the rat hippocampal formation. An immunocytochemical study,1988 Dec 1,Brain Res Dev Brain Res,44,,0
"Kawaguchi Y, Hama K",3234499,,,10.1007/BF00250594,,,494,502,Physiological heterogeneity of nonpyramidal cells in rat hippocampal CA1 region,1988,Exp Brain Res,72,4028: CA1:SCA-SR-CB: CA1 type II nonpyramidal cell,1
"Madeira MD, Paula-Barbosa M, Cadete-Leite A, Tavares MA",3235823,,,,,,643,650,Unbiased estimate of hippocampal granule cell numbers in hypothyroid and in sex-age-matched control rats,1988,J Hirnforsch,29,,0
"West MJ, Coleman PD, Flood DG",3292009,,,10.1016/0006-8993(88)91114-6,,,167,172,Estimating the number of granule cells in the dentate gyrus with the disector,1988 May 10,Brain Res,448,,0
"Kawaguchi Y, Katsumaru H, Kosaka T, Heizmann CW, Hama K",3304536,,,10.1016/0006-8993(87)90921-8,,,369,374,Fast spiking cells in rat hippocampus (CA1 region) contain the calcium-binding protein parvalbumin,1987 Jul 28,Brain Res,416,4037: CA1:BC: CA1 fast spiking cells,1
"Kosaka T, Katsumaru H, Hama K, Wu JY, Heizmann CW",3315112,,,10.1016/0006-8993(87)90575-0,,,119,130,GABAergic neurons containing the Ca2+-binding protein parvalbumin in the rat hippocampus and dentate gyrus,1987 Sep 1,Brain Res,419,,0
"Lacaille JC, Schwartzkroin PA",3357023,,,,,,1400,1410,"Stratum lacunosum-moleculare interneurons of hippocampal CA1 region. I. Intracellular response characteristics, synaptic responses, and morphology",1988 Apr,J Neurosci,8,,0
"Lacaille JC, Schwartzkroin PA",3357024,,,,,,1411,1424,Stratum lacunosum-moleculare interneurons of hippocampal CA1 region. II. Intrasomatic and intradendritic recordings of local circuit synaptic interactions,1988 Apr,J Neurosci,8,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 LM interneuron",1
"Blaker SN, Armstrong DM, Gage FH",3385020,,,10.1002/cne.902720109,,,127,138,Cholinergic neurons within the rat hippocampus: response to fimbria-fornix transection. ,1988 Jun 1,J Comp Neurol,272,4007: CA1:CH: CA1 small cholinergic cells ### 4007: CA1:CH: CA1 ChAT-positive neurons,0
"Tamamaki N, Abe K, Nojyo Y",3401733,,,10.1016/0006-8993(88)90030-3,,,255,272,Three-dimensional analysis of the whole axonal arbors originating from single CA2 pyramidal neurons in the rat hippocampus with the aid of a computer graphic technique,1988 Jun 14,Brain Res,452,3000: CA2:PC: CA2 pyramidal neuron,1
Seress L,3418118,,,,,,335,340,Interspecies comparison of the hippocampal formation shows increased emphasis on the regio superior in the Ammons horn of the human brain. s horn of the human brain,1988,J Hirnforsch,29,,0
"Matthews DA, Salvaterra PM, Crawford GD, Houser CR, Vaughn JE",3548884,,,10.1016/0006-8993(87)91044-4,,,30,43,An immunocytochemical study of choline acetyltransferase-containing neurons and axon terminals in normal and partially deafferented hippocampal formation. ,1987 Jan 27,Brain Res,402,4007: CA1:CH: CA1  small ChAT-positive somata ### 4007: CA1:CH: CA1  ChAT-positive neurons ### 4007: CA1:CH: CA1 varicose fibers ### 4007: CA1:CH: CA1  ChAT-positive puncta ### 4007: CA1:CH: CA1 ChAT-positive neurons,0
"Kawaguchi Y, Hama K",3607424,,,10.1016/0006-8993(87)90700-1,,,190,195,Two subtypes of non-pyramidal cells in rat hippocampal formation identified by intracellular recording and HRP injection,1987 May 12,Brain Res,411,,0
"Tamamaki N, Abe K, Nojyo Y",3607449,,,10.1016/0006-8993(87)91452-1,,,156,160,Columnar organization in the subiculum formed by axon branches originating from single CA1 pyramidal neurons in the rat hippocampus,1987 May 26,Brain Res,412,4000: CA1:PC: CA1 pyramidal cell,1
"Lacaille JC, Mueller AL, Kunkel DD, Schwartzkroin PA",3612227,,,,,,1979,1993,Local circuit interactions between oriens/alveus interneurons and CA1 pyramidal cells in hippocampal slices: electrophysiology and morphology,1987 Jul,J Neurosci,7,"4055: CA1:O-A: CA1 oriens/alveus interneurons, CA1 O/A intenreurons ### 4051: CA1:O-A-2: CA1 oriens/alveus interneurons; CA1 O/A interneurons",1
"Claiborne BJ, Amaral DG, Cowan WM",3700723,,,10.1002/cne.902460403,,,435,458,A light and electron microscopic analysis of the mossy fibers of the rat dentate gyrus,1986 Apr 22,J Comp Neurol,246,1000: DG:GC: Dentate gyrus granule cell,1
"Frotscher M, Schlander M, Leranth C",3779810,,,10.1007/BF00215891,,,293,301,Cholinergic neurons in the hippocampus. A combined light- and electron-microscopic immunocytochemical study in the rat. ,1986,Cell Tissue Res,246,4007: CA1:CH: CA1 CHAT-immunoreactive neurons ### 4007: CA1:CH: CA1 cholinergic neurons,0
"Kisvarday ZF, Martin KA, Freund TF, Magloczky Z, Whitteridge D, Somogyi P",3803491,,,10.1007/BF00340492,,,541,552,Synaptic targets of HRP-filled layer III pyramidal cells in the cat striate cortex,1986,Exp Brain Res,64,,0
"Sloviter RS, Nilaver G",3819038,,,10.1002/cne.902560105,,,42,60,"Immunocytochemical localization of GABA-, cholecystokinin-, vasoactive intestinal polypeptide-, and somatostatin-like immunoreactivity in the area dentata and hippocampus of the rat. ",1987 Feb 1,J Comp Neurol,256,,0
"Boss BD, Peterson GM, Cowan WM",3896391,,,10.1016/0006-8993(85)90257-4,,,144,150,On the number of neurons in the dentate gyrus of the rat,1985 Jul 8,Brain Res,338,,0
"Desmond NL, Levy WB",3991060,,,10.1016/S0304-3940(85)80082-3,,,219,224,Granule cell dendritic spine density in the rat hippocampus varies with spine shape and location,1985 Mar 15,Neurosci Lett,54,,0
"Frotscher M, Leranth C",4044938,,,10.1002/cne.902390210,,,237,246,Cholinergic innervation of the rat hippocampus as revealed by choline acetyltransferase immunocytochemistry: a combined light and electron microscopic study. ,1985 Sep 8,J Comp Neurol,239,4007: CA1:CH: CA1 ChAT-immunoreactive fibers,0
"Blackstad TW, Brink K, Hem J, Jeune B",4907846,,,10.1002/cne.901380404,,,433,449,Distribution of hippocampal mossy fibers in the rat. An experimental study with silver impregnation methods,1970 Apr,J Comp Neurol,138,"1000: DG:GC: Dentate gyrus granule cell, mossy fibers",1
"Morrison JH, Benoit R, Magistretti PJ, Ling N, Bloom FE",6135179,,,10.1016/0304-3940(82)90165-3,,,137,142,Immunohistochemical distribution of pro-somatostatin-related peptides in hippocampus. ,1982 Dec 30,Neurosci Lett,34,,0
"Schmechel DE, Vickrey BG, Fitzpatrick D, Elde RP",6147798,,,10.1016/0304-3940(84)90518-4,,,227,232,GABAergic neurons of mammalian cerebral cortex: widespread subclass defined by somatostatin content,1984 Jun 29,Neurosci Lett,47,,0
"Somogyi P, Hodgson AJ, Smith AD, Nunzi MG, Gorio A, Wu JY",6149275,,,,,,2590,2603,Different populations of GABAergic neurons in the visual cortex and hippocampus of cat contain somatostatin- or cholecystokinin-immunoreactive material. ,1984 Oct,J Neurosci,4,,0
"Seress L, Ribak CE",6315469,,,10.1007/BF00239181,,,173,182,GABAergic cells in the dentate gyrus appear to be local circuit and projection neurons. ,1983,Exp Brain Res,50,,0
"Levey AI, Wainer BH, Rye DB, Mufson EJ, Mesulam MM",6514183,,,10.1016/0306-4522(84)90234-3,,,341,353,Choline acetyltransferase-immunoreactive neurons intrinsic to rodent cortex and distinction from acetylcholinesterase-positive neurons. ,1984 Oct,Neuroscience,13,4007: CA1:CH: CA1 ChAT-immunoreactive cells ### 4007: CA1:CH: CA1 AChEpositive cells,0
"Ribak CE, Seress L",6619905,,,10.1007/BF01181525,,,577,597,Five types of basket cell in the hippocampal dentate gyrus: a combined Golgi and electron microscopic study,1983 Aug,J Neurocytol,12,"1033: DG:BC: Dentate gyrus basket cells, Dentate gyrus pyramidal basket cells, dentate gyrus fusiform basket cells, dentate gyrus molecular layer basket cells, dentate gyrus inverted fusiform basket cells, dentate gyrus horizontal basket cells",1
"Baimbridge KG, Miller JJ",6751467,,,10.1016/0006-8993(82)90804-6,,,223,229,"Immunohistochemical localization of calcium-binding protein in the cerebellum, hippocampal formation and olfactory bulb of the rat. ",1982 Aug 12,Brain Res,245,4064: CA1:CB-PPA: CA1 CaBP immunoreactive fibers,0
"Houser CR, Crawford GD, Barber RP, Salvaterra PM, Vaughn JE",6850348,,,10.1016/0006-8993(83)91312-4,,,97,119,Organization and morphological characteristics of cholinergic neurons: an immunocytochemical study with a monoclonal antibody to choline acetyltransferase. ,1983 Apr 25,Brain Res,266,4007: CA1:CH: CA1 cholinergic puncta,0
"Bayer SA, Yackel JW, Puri PS",7079742,,,10.1126/science.7079742,,,890,892,Neurons in the rat dentate gyrus granular layer substantially increase during juvenile and adult life,1982 May 21,Science,216,,0
Bayer SA,7095040,,,10.1007/BF00238626,,,315,323,Changes in the total number of dentate granule cells in juvenile and adult rats: a correlated volumetric and 3H-thymidine autoradiographic study,1982,Exp Brain Res,46,,0
"Ruth RE, Collier TJ, Routtenberg A",7119174,,,10.1002/cne.902090107,,,69,78,Topography between the entorhinal cortex and the dentate septotemporal axis in rats: I. Medial and intermediate entorhinal projecting cells,1982 Jul 20,J Comp Neurol,209,,0
"Desmond NL, Levy WB",7187915,,,10.1002/cne.902120204,,,131,145,A quantitative anatomical study of the granule cell dendritic fields of the rat dentate gyrus using a novel probabilistic method,1982 Dec 1,J Comp Neurol,212,1000: DG:GC: Dentate gyrus granule cell,1
"Amaral DG, Dent JA",7204652,,,10.1002/cne.901950106,,,51,86,Development of the mossy fibers of the dentate gyrus: I. A light and electron microscopic study of the mossy fibers and their expansions,1981 Jan 1,J Comp Neurol,195,,0
"Schwartz SP, Coleman PD",7286122,,,10.1016/0014-4886(81)90169-2,,,305,312,Neurons of origin of the perforant path,1981 Oct,Exp Neurol,74,"6082: EC:excitatory: EC layer II stellates, EC layer II stellate cells, EC layer II pyramidal cells ### 6003: EC:SC_II: MEC layer II stellate cells",1
"Seress L, Pokorny J",7333948,,,,,,181,195,Structure of the granular layer of the rat dentate gyrus. A light microscopic and Golgi study,1981 Sep,J Anat,133,,0
"Anderson HR, Bailey P, West S",7427632,,,10.1136/bmj.281.6249.1191,,,1191,1194,Trends in the hospital care of acute childhood asthma 1970-8: a regional study,1980 Nov 1,Br Med J,281,,0
"Sik A, Penttonen M, Ylinen A, Buzsaki G",7472426,,,,,,6651,6665,Hippocampal CA1 interneurons: an in vivo intracellular labeling study,1995 Oct,J Neurosci,15,4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar interneuron,1
"Empson RM, Gloveli T, Schmitz D, Heinemann U",7478170,,,10.1016/0304-3940(95)11684-O,,,149,152,Electrophysiology and morphology of a new type of cell within layer II of the rat lateral entorhinal cortex in vitro,1995 Jul 7,Neurosci Lett,193,,1
"Bannister NJ, Larkman AU",7499560,,,10.1002/cne.903600111,,,150,160,Dendritic morphology of CA1 pyramidal neurones from the rat hippocampus: I. Branching patterns,1995 Sep 11,J Comp Neurol,360,,0
"McBain CJ, DiChiara TJ, Kauer JA",7517996,,,,,,4433,4445,Activation of metabotropic glutamate receptors differentially affects two classes of hippocampal interneurons and potentiates excitatory synaptic transmission,1994 Jul,J Neurosci,14,4069: CA1:O-LM: CA1 stratum oriens interneurones of the second type ### 4024: CA1:SR_O-LM: CA1 stratum oriens interneurones of the second type,1
"Esclapez M, Houser CR",7700525,,,10.1016/0306-4522(94)00406-U,,,339,355,Somatostatin neurons are a subpopulation of GABA neurons in the rat dentate gyrus: evidence from colocalization of pre-prosomatostatin and glutamate decarboxylase messenger RNAs. ,1995 Jan,Neuroscience,64,,0
Jones RS,7842056,,,10.1002/hipo.450040317,,,335,353,Synaptic and intrinsic properties of neurons of origin of the perforant path in layer II of the rat entorhinal cortex in vitro,1994 Jun,Hippocampus,4,"6003: EC:SC_II: MEC layer II stellate neurons, MEC layer II type I neurons, MEC layer II type II neurons",1
"Buckmaster PS, Schwartzkroin PA",7874231,,,10.1002/hipo.450040402,,,393,402,Hippocampal mossy cell function: a speculative view. ,1994 Aug,Hippocampus,4,,0
Scharfman HE,7884451,,,,,,2167,2180,Evidence from simultaneous intracellular recordings in rat hippocampal slices that area CA3 pyramidal cells innervate dentate hilar mossy cells,1994 Nov,J Neurophysiol,72,1002: DG:MC: Dentate gyrus mossy cell,1
"Bernard C, Wheal HV",7889123,,,10.1002/hipo.450040502,,,497,529,Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,1994 Oct,Hippocampus,4,"2000: CA3:PC-ab: pyramidal cell located in mid CA3, pyramidal cell located in distal CA3 ### 2004: CA3:PC-c: proximal CA3 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4055: CA1:O-A: CA1 O/A interneurons ### 4036: CA1:AA: CA1 chandelier cell",1
"Houser CR, Esclapez M",7889124,,,10.1002/hipo.450040503,,,530,545,Localization of mRNAs encoding two forms of glutamic acid decarboxylase in the rat hippocampal formation. ,1994 Oct,Hippocampus,4,,0
"Aika Y, Ren JQ, Kosaka K, Kosaka T",7925807,,,10.1007/BF00239593,,,267,276,"Quantitative analysis of GABA-like-immunoreactive and parvalbumin-containing neurons in the CA1 region of the rat hippocampus using a stereological method, the disector",1994,Exp Brain Res,99,,0
"Williams S, Samulack DD, Beaulieu C, LaCaille JC",7931512,,,,,,2217,2235,Membrane properties and synaptic responses of interneurons located near the stratum lacunosum-moleculare/radiatum border of area CA1 in whole-cell recordings from rat hippocampal slices,1994 Jun,J Neurophysiol,71,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 L-M interneuron",1
"Buhl EH, Han ZS, Lorinczi Z, Stezhka VV, Karnup SV, Somogyi P",8035215,,,,,,1289,1307,Physiological properties of anatomically identified axo-axonic cells in the rat hippocampus,1994 Apr,J Neurophysiol,71,,0
"Sik A, Ylinen A, Penttonen M, Buzsaki G",8085161,,,10.1126/science.8085161,,,1722,1724,Inhibitory CA1-CA3-hilar region feedback in the hippocampus,1994 Sep 16,Science,265,"4023: CA1:BP: CA1 backward projecting cell, Ca1 feedback neuron",1
"Gulyas AI, Miles R, Hajos N, Freund TF",8124523,,,10.1111/j.1460-9568.1993.tb00240.x,,,1729,1751,Precision and variability in postsynaptic target selection of inhibitory cells in the hippocampal CA3 region,1993 Dec 1,Eur J Neurosci,5,2029: CA3:BC: CA3 basket cell ### 2028: CA3:AA: CA3 axo-axonic cell ### 2035: CA3:MFA-2: CA3 stratum lucidum basket cell ### 2007: CA3:quad_O-LM: CA3 O-LM cells,1
"Buhl EH, Halasy K, Somogyi P",8159242,,,10.1038/368823a0,,,823,828,Diverse sources of hippocampal unitary inhibitory postsynaptic potentials and the number of synaptic release sites,1994 Apr 28,Nature,368,4037: CA1:BC: CA1 basket cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells,1
"Frotscher M, Soriano E, Misgeld U",8197576,,,10.1002/syn.890160208,,,148,160,Divergence of hippocampal mossy fibers,1994 Feb,Synapse,16,1005: DG:TML-MOLAX: DG MOLAX cell,1
